,match_id,date,batter,batter_runs,balls_faced,wicket_type,won,innings,wickets_fallen,bowling_team,batting_team,venue,toss_winner,runs_remain,net_run_rate,final_team_total,first_ball,current_team_total,is_powerplay,strike_rate,out,last_ball,Left arm Fast,Left arm Orthodox,Left arm Wrist spin,Right arm Fast,Right arm Legbreak,Right arm Offbreak,recent_form
6703,India_West Indies_2023-08-06,2023-08-06,BA King,0,1,caught,1.0,2,1,India,West Indies,Providence Stadium,0,152.0,0.6300884955752224,155,1,0,True,0.0,True,1,50.0,24.0,0.0,123.0,43.0,0.0,28.0
8790,Australia_Pakistan_2012-09-07,2012-09-07,Abdul Razzaq,2,2,0,-1.0,1,4,Australia,Pakistan,Dubai International Cricket Stadium,1,-1.0,0.0,151,116,147,False,100.0,False,120,0.0,0.0,0.0,6.0,0.0,0.0,0.0
7106,New Zealand_India_2023-01-29,2023-01-29,DP Conway,11,14,caught,0.0,1,0,India,New Zealand,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1,-1.0,-0.1424369747899163,99,1,1,True,78.57,True,28,12.0,33.0,24.0,48.0,39.0,92.0,52.0
8018,Pakistan_New Zealand_2023-04-14,2023-04-14,Zaman Khan,0,1,caught,1.0,1,9,New Zealand,Pakistan,Gaddafi Stadium,1,-1.0,4.4,182,118,182,False,0.0,True,119,2.0,,,0.0,0.0,0.0,8.0
5894,South Africa_Pakistan_2021-04-14,2021-04-14,Mohammad Rizwan,73,47,0,1.0,2,0,South Africa,Pakistan,SuperSport Park,1,-2.0,1.238888888888889,205,1,0,True,155.32,False,108,49.0,48.0,19.0,114.0,0.0,0.0,37.0
3167,England_West Indies_2011-09-25,2011-09-25,AD Russell,12,8,0,1.0,1,5,England,West Indies,The Oval,0,-1.0,1.25,113,109,98,False,150.0,False,120,0.0,0.0,0.0,10.0,0.0,0.0,6.0
7406,India_England_2022-07-09,2022-07-09,HC Brook,8,9,caught,0.0,2,3,India,England,Edgbaston,1,129.0,-2.45,121,26,27,True,88.89,True,40,20.0,12.0,,102.0,25.0,19.0,28.0
2508,England_India_2018-07-03,2018-07-03,V Kohli,20,22,0,1.0,2,2,England,India,Old Trafford,1,-4.0,0.9409090909090904,163,77,131,False,90.91,False,110,12.0,0.0,12.0,47.0,10.0,2.0,0.0
405,Sri Lanka_England_2012-10-01,2012-10-01,KMDN Kulasekara,1,3,0,1.0,1,6,England,Sri Lanka,Pallekele International Cricket Stadium,0,-1.0,0.9499999999999992,169,114,162,False,33.33,False,120,0.0,0.0,,15.0,0.0,0.0,0.0
3953,New Zealand_India_2009-02-25,2009-02-25,MJ Guptill,41,27,lbw,1.0,2,1,India,New Zealand,AMI Stadium,1,106.0,0.714159292035399,166,8,2,True,151.85,True,40,36.0,33.0,0.0,104.0,0.0,54.0,0.0
