,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
37,RE Levi,BV Vitori,HM Amla,2,0,2,52,23,20,5,-,6,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
38,RE Levi,BV Vitori,HM Amla,4,0,4,56,27,21,6,-,6,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
39,HM Amla,P Utseya,RE Levi,1,0,1,57,19,19,1,-,7,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
40,RE Levi,P Utseya,HM Amla,1,0,1,58,28,22,2,-,7,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
41,HM Amla,P Utseya,RE Levi,0,0,0,58,19,20,3,-,7,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
42,HM Amla,P Utseya,RE Levi,1,0,1,59,20,21,4,-,7,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
43,RE Levi,P Utseya,HM Amla,1,0,1,60,29,23,5,-,7,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
44,HM Amla,P Utseya,RE Levi,0,0,0,60,20,22,6,-,7,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
45,RE Levi,AG Cremer,HM Amla,1,0,1,61,30,24,1,-,8,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
46,HM Amla,AG Cremer,RE Levi,1,0,1,62,21,23,2,-,8,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
47,RE Levi,AG Cremer,HM Amla,0,0,0,62,30,25,3,-,8,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
48,RE Levi,AG Cremer,HM Amla,0,0,0,62,30,26,4,-,8,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
49,RE Levi,AG Cremer,HM Amla,1,0,1,63,31,27,5,-,8,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
50,HM Amla,AG Cremer,RE Levi,1,0,1,64,22,24,6,-,8,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
51,HM Amla,P Utseya,RE Levi,1,0,1,65,23,25,1,-,9,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
52,RE Levi,P Utseya,HM Amla,4,0,4,69,35,28,2,-,9,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
53,RE Levi,P Utseya,HM Amla,1,0,1,70,36,29,3,-,9,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
54,HM Amla,P Utseya,RE Levi,0,0,0,70,23,26,4,-,9,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
55,HM Amla,P Utseya,RE Levi,1,0,1,71,24,27,5,-,9,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
56,RE Levi,P Utseya,HM Amla,2,0,2,73,38,30,6,-,9,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
