,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
41,DPMD Jayawardene,SNJ O'Keefe,LD Chandimal,1,0,1,59,139,48,29,1,6,7,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
42,DPMD Jayawardene,SPD Smith,LD Chandimal,1,0,1,60,138,49,30,1,1,8,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
43,LD Chandimal,SPD Smith,DPMD Jayawardene,0,0,0,60,138,7,8,1,2,8,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
44,LD Chandimal,SPD Smith,DPMD Jayawardene,2,0,2,62,136,9,9,1,3,8,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
45,LD Chandimal,SPD Smith,DPMD Jayawardene,4,0,4,66,132,13,10,1,4,8,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
46,LD Chandimal,SPD Smith,DPMD Jayawardene,0,0,0,66,132,13,11,2,5,8,caught and bowled,LD Chandimal,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
47,NLTC Perera,SPD Smith,DPMD Jayawardene,1,0,1,67,131,1,1,2,6,8,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
48,NLTC Perera,MG Johnson,DPMD Jayawardene,0,0,0,67,131,1,2,2,1,9,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
49,NLTC Perera,MG Johnson,DPMD Jayawardene,4,0,4,71,127,5,3,2,2,9,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
50,NLTC Perera,MG Johnson,DPMD Jayawardene,2,0,2,73,125,7,4,2,3,9,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
51,NLTC Perera,MG Johnson,DPMD Jayawardene,2,0,2,75,123,9,5,2,4,9,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
52,NLTC Perera,MG Johnson,DPMD Jayawardene,0,0,0,75,123,9,6,3,5,9,caught,NLTC Perera,SR Watson,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
53,DPMD Jayawardene,MG Johnson,KC Sangakkara,4,0,4,79,119,53,31,3,6,9,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
54,KC Sangakkara,SPD Smith,DPMD Jayawardene,1,0,1,80,118,1,1,3,1,10,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
55,DPMD Jayawardene,SPD Smith,KC Sangakkara,0,0,0,80,118,53,32,3,2,10,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
56,DPMD Jayawardene,SPD Smith,KC Sangakkara,6,0,6,86,112,59,33,3,3,10,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
57,DPMD Jayawardene,SPD Smith,KC Sangakkara,0,0,0,86,112,59,34,3,4,10,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
58,DPMD Jayawardene,SPD Smith,KC Sangakkara,1,0,1,87,111,60,35,3,5,10,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
59,KC Sangakkara,SPD Smith,DPMD Jayawardene,2,0,2,89,109,3,2,3,6,10,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
60,DPMD Jayawardene,DJ Hussey,KC Sangakkara,1,0,1,90,108,61,36,3,1,11,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
61,KC Sangakkara,DJ Hussey,DPMD Jayawardene,2,0,2,92,106,5,3,3,2,11,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
62,KC Sangakkara,DJ Hussey,DPMD Jayawardene,0,1,1,93,105,5,4,3,3,11,0,,,wides,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
63,KC Sangakkara,DJ Hussey,DPMD Jayawardene,0,0,0,93,105,5,5,3,4,11,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
64,KC Sangakkara,DJ Hussey,DPMD Jayawardene,1,0,1,94,104,6,6,3,5,11,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
65,DPMD Jayawardene,DJ Hussey,KC Sangakkara,1,0,1,95,103,62,37,3,6,11,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
66,KC Sangakkara,DJ Hussey,DPMD Jayawardene,1,0,1,96,102,7,7,3,7,11,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
67,KC Sangakkara,SNJ O'Keefe,DPMD Jayawardene,0,0,0,96,102,7,8,3,1,12,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
68,KC Sangakkara,SNJ O'Keefe,DPMD Jayawardene,1,0,1,97,101,8,9,3,2,12,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
69,DPMD Jayawardene,SNJ O'Keefe,KC Sangakkara,4,0,4,101,97,66,38,3,3,12,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
70,DPMD Jayawardene,SNJ O'Keefe,KC Sangakkara,1,0,1,102,96,67,39,3,4,12,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
71,KC Sangakkara,SNJ O'Keefe,DPMD Jayawardene,2,0,2,104,94,10,10,3,5,12,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
72,KC Sangakkara,SNJ O'Keefe,DPMD Jayawardene,4,0,4,108,90,14,11,3,6,12,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
73,DPMD Jayawardene,JW Hastings,KC Sangakkara,0,0,0,108,90,67,40,3,1,13,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
74,DPMD Jayawardene,JW Hastings,KC Sangakkara,1,0,1,109,89,68,41,3,2,13,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
75,KC Sangakkara,JW Hastings,DPMD Jayawardene,1,0,1,110,88,15,12,3,3,13,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
76,DPMD Jayawardene,JW Hastings,KC Sangakkara,0,0,0,110,88,68,42,3,4,13,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
77,DPMD Jayawardene,JW Hastings,KC Sangakkara,1,0,1,111,87,69,43,3,5,13,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
78,KC Sangakkara,JW Hastings,DPMD Jayawardene,1,0,1,112,86,16,13,3,6,13,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
79,KC Sangakkara,SPD Smith,DPMD Jayawardene,6,0,6,118,80,22,14,3,1,14,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
80,KC Sangakkara,SPD Smith,DPMD Jayawardene,1,0,1,119,79,23,15,3,2,14,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
81,DPMD Jayawardene,SPD Smith,KC Sangakkara,0,0,0,119,79,69,44,3,3,14,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
82,DPMD Jayawardene,SPD Smith,KC Sangakkara,0,0,0,119,79,69,45,3,4,14,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
83,DPMD Jayawardene,SPD Smith,KC Sangakkara,1,0,1,120,78,70,46,3,5,14,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
84,KC Sangakkara,SPD Smith,DPMD Jayawardene,1,0,1,121,77,24,16,3,6,14,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
85,KC Sangakkara,JW Hastings,DPMD Jayawardene,0,0,0,121,77,24,17,4,1,15,caught,KC Sangakkara,CL White,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
86,BMAJ Mendis,JW Hastings,DPMD Jayawardene,0,0,0,121,77,0,1,4,2,15,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
87,BMAJ Mendis,JW Hastings,DPMD Jayawardene,0,0,0,121,77,0,2,4,3,15,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
88,BMAJ Mendis,JW Hastings,DPMD Jayawardene,1,0,1,122,76,1,3,4,4,15,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
89,DPMD Jayawardene,JW Hastings,BMAJ Mendis,0,1,1,123,75,70,47,4,5,15,0,,,legbyes,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
90,BMAJ Mendis,JW Hastings,DPMD Jayawardene,0,0,0,123,75,1,4,5,6,15,bowled,BMAJ Mendis,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
91,DPMD Jayawardene,MG Johnson,AD Mathews,1,0,1,124,74,71,48,5,1,16,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
92,AD Mathews,MG Johnson,DPMD Jayawardene,0,0,0,124,74,0,1,5,2,16,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
93,AD Mathews,MG Johnson,DPMD Jayawardene,1,0,1,125,73,1,2,5,3,16,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
94,DPMD Jayawardene,MG Johnson,AD Mathews,0,0,0,125,73,71,49,5,4,16,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
95,DPMD Jayawardene,MG Johnson,AD Mathews,1,0,1,126,72,72,50,5,5,16,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
96,AD Mathews,MG Johnson,DPMD Jayawardene,4,0,4,130,68,5,3,5,6,16,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
97,DPMD Jayawardene,JW Hastings,AD Mathews,0,0,0,130,68,72,51,5,1,17,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
98,DPMD Jayawardene,JW Hastings,AD Mathews,1,0,1,131,67,73,52,5,2,17,0,,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
99,AD Mathews,JW Hastings,DPMD Jayawardene,0,0,0,131,67,5,4,6,3,17,bowled,AD Mathews,,-,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2011,08,Sri Lanka_Australia_2011-08-08,Sri Lanka,Sri Lanka,Australia,157
