,batter,bowler,non_striker,review,extras,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
105,JC Buttler,AC Agar,MM Ali,,,1,0,1,136,68,51,1,-,18,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
106,MM Ali,AC Agar,JC Buttler,,,1,0,1,137,1,1,2,-,18,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
107,JC Buttler,AC Agar,MM Ali,,,1,0,1,138,69,52,3,-,18,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
108,MM Ali,AC Agar,JC Buttler,,,0,0,0,138,1,2,4,-,18,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
109,MM Ali,AC Agar,JC Buttler,,,1,0,1,139,2,3,5,-,18,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
110,JC Buttler,AC Agar,MM Ali,,,1,0,1,140,70,53,6,-,18,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
111,JC Buttler,A Zampa,MM Ali,,,1,0,1,141,71,54,1,-,19,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
112,MM Ali,A Zampa,JC Buttler,,,6,0,6,147,8,4,2,-,19,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
113,MM Ali,A Zampa,JC Buttler,,,4,0,4,151,12,5,3,-,19,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
114,MM Ali,A Zampa,JC Buttler,,,1,0,1,152,13,6,4,-,19,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
115,JC Buttler,A Zampa,MM Ali,,,6,0,6,158,77,55,5,-,19,0,,,bat,Australia,2,The Rose Bowl,2020-09-06,England,Australia
