,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
53,P Nissanka,AC Agar,DM de Silva,2,0,2,56,23,28,36,1,4,9,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
54,P Nissanka,AC Agar,DM de Silva,1,0,1,57,22,29,37,1,5,9,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
55,DM de Silva,AC Agar,P Nissanka,0,1,1,58,21,15,13,1,6,9,0,,,legbyes,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
56,DM de Silva,MA Starc,P Nissanka,0,0,0,58,21,15,14,1,1,10,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
57,DM de Silva,MA Starc,P Nissanka,1,0,1,59,20,16,15,1,2,10,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
58,P Nissanka,MA Starc,DM de Silva,1,0,1,60,19,30,38,1,3,10,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
59,DM de Silva,MA Starc,P Nissanka,1,0,1,61,18,17,16,1,4,10,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
60,P Nissanka,MA Starc,DM de Silva,2,0,2,63,16,32,39,1,5,10,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
61,P Nissanka,MA Starc,DM de Silva,0,0,0,63,16,32,40,1,6,10,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
62,DM de Silva,MP Stoinis,P Nissanka,0,0,0,63,16,17,17,1,1,11,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
63,DM de Silva,MP Stoinis,P Nissanka,1,0,1,64,15,18,18,1,2,11,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
64,P Nissanka,MP Stoinis,DM de Silva,1,0,1,65,14,33,41,1,3,11,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
65,DM de Silva,MP Stoinis,P Nissanka,0,1,1,66,13,18,19,1,4,11,0,,,wides,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
66,DM de Silva,MP Stoinis,P Nissanka,2,0,2,68,11,20,20,1,5,11,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
67,DM de Silva,MP Stoinis,P Nissanka,4,0,4,72,7,24,21,1,6,11,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
68,DM de Silva,MP Stoinis,P Nissanka,1,0,1,73,6,25,22,1,7,11,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
69,DM de Silva,AC Agar,P Nissanka,1,0,1,74,5,26,23,1,1,12,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
70,P Nissanka,AC Agar,DM de Silva,1,0,1,75,4,34,42,1,2,12,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
71,DM de Silva,AC Agar,P Nissanka,0,0,0,75,4,26,24,2,3,12,caught,DM de Silva,DA Warner,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
72,KIC Asalanka,AC Agar,P Nissanka,1,0,1,76,3,1,1,2,4,12,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
73,P Nissanka,AC Agar,KIC Asalanka,1,0,1,77,2,35,43,2,5,12,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
74,KIC Asalanka,AC Agar,P Nissanka,0,1,1,78,1,1,2,2,6,12,0,,,legbyes,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
75,KIC Asalanka,MR Marsh,P Nissanka,2,0,2,80,-1,3,3,2,1,13,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
76,KIC Asalanka,MR Marsh,P Nissanka,1,0,1,81,-2,4,4,2,2,13,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
77,P Nissanka,MR Marsh,KIC Asalanka,1,0,1,82,-3,36,44,2,3,13,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
