,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
40,Ibrahim Zadran,D Madushanka,Rahmanullah Gurbaz,4,0,4,60,123,7,8,1,5,7,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
41,Ibrahim Zadran,D Madushanka,Rahmanullah Gurbaz,1,0,1,61,122,8,9,1,6,7,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
42,Ibrahim Zadran,PWH de Silva,Rahmanullah Gurbaz,1,0,1,62,121,9,10,1,1,8,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
43,Rahmanullah Gurbaz,PWH de Silva,Ibrahim Zadran,0,0,0,62,121,40,18,1,2,8,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
44,Rahmanullah Gurbaz,PWH de Silva,Ibrahim Zadran,6,0,6,68,115,46,19,1,3,8,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
45,Rahmanullah Gurbaz,PWH de Silva,Ibrahim Zadran,1,0,1,69,114,47,20,1,4,8,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
46,Ibrahim Zadran,PWH de Silva,Rahmanullah Gurbaz,0,0,0,69,114,9,11,1,5,8,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
47,Ibrahim Zadran,PWH de Silva,Rahmanullah Gurbaz,1,0,1,70,113,10,12,1,6,8,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
48,Ibrahim Zadran,C Karunaratne,Rahmanullah Gurbaz,1,0,1,71,112,11,13,1,1,9,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
49,Rahmanullah Gurbaz,C Karunaratne,Ibrahim Zadran,2,0,2,73,110,49,21,1,2,9,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
