,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
97,MDKJ Perera,IS Sodhi,KIC Asalanka,,1,0,1,150,46,42,5,-,0,,,15,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
98,KIC Asalanka,IS Sodhi,MDKJ Perera,,1,0,1,151,53,36,6,-,0,,,15,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
99,KIC Asalanka,HB Shipley,MDKJ Perera,,0,1,1,152,53,37,1,legbyes,0,,,16,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
100,MDKJ Perera,HB Shipley,KIC Asalanka,,0,0,0,152,46,43,2,-,0,,,16,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
101,MDKJ Perera,HB Shipley,KIC Asalanka,,1,0,1,153,47,44,3,-,0,,,16,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
102,KIC Asalanka,HB Shipley,MDKJ Perera,,6,0,6,159,59,38,4,-,0,,,16,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
103,KIC Asalanka,HB Shipley,MDKJ Perera,,2,0,2,161,61,39,5,-,0,,,16,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
104,KIC Asalanka,HB Shipley,MDKJ Perera,,6,0,6,167,67,40,6,-,0,,,16,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
105,MDKJ Perera,BG Lister,KIC Asalanka,,1,0,1,168,48,45,1,-,0,,,17,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
106,KIC Asalanka,BG Lister,MDKJ Perera,,0,0,0,168,67,41,2,-,0,,,17,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
107,KIC Asalanka,BG Lister,MDKJ Perera,,0,0,0,168,67,42,3,-,caught,KIC Asalanka,TL Seifert,17,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
108,MD Shanaka,BG Lister,MDKJ Perera,,0,0,0,168,0,1,4,-,0,,,17,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
