,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,replacements,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
57,Rishad Hossain,N Thushara,Mahedi Hasan,,1,0,1,38,136,5,6,6,2,-,9,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
58,Mahedi Hasan,N Thushara,Rishad Hossain,,0,0,0,38,136,6,9,6,3,-,9,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
59,Mahedi Hasan,N Thushara,Rishad Hossain,,0,0,0,38,136,6,10,6,4,-,9,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
60,Mahedi Hasan,N Thushara,Rishad Hossain,,0,1,1,39,135,6,11,6,5,wides,9,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
61,Mahedi Hasan,N Thushara,Rishad Hossain,,1,0,1,40,134,7,12,6,6,-,9,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
62,Rishad Hossain,N Thushara,Mahedi Hasan,,0,1,1,41,133,5,7,6,7,wides,9,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
63,Rishad Hossain,N Thushara,Mahedi Hasan,,1,0,1,42,132,6,8,6,8,-,9,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
64,Rishad Hossain,PWH de Silva,Mahedi Hasan,,0,0,0,42,132,6,9,6,1,-,10,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
65,Rishad Hossain,PWH de Silva,Mahedi Hasan,,1,0,1,43,131,7,10,6,2,-,10,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
66,Mahedi Hasan,PWH de Silva,Rishad Hossain,,1,0,1,44,130,8,13,6,3,-,10,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
67,Rishad Hossain,PWH de Silva,Mahedi Hasan,,6,0,6,50,124,13,11,6,4,-,10,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
