,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
70,AK Markram,AU Rashid,RR Hendricks,,1,0,1,89,118,15,13,2,2,0,,,11,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
71,RR Hendricks,AU Rashid,AK Markram,,1,0,1,90,117,40,37,2,3,0,,,11,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
72,AK Markram,AU Rashid,RR Hendricks,,1,0,1,91,116,16,14,2,4,0,,,11,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
73,RR Hendricks,AU Rashid,AK Markram,,1,0,1,92,115,41,38,2,5,0,,,11,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
74,AK Markram,AU Rashid,RR Hendricks,,1,0,1,93,114,17,15,2,6,0,,,11,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
75,AK Markram,CJ Jordan,RR Hendricks,,2,0,2,95,112,19,16,2,1,0,,,12,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
76,AK Markram,CJ Jordan,RR Hendricks,,4,0,4,99,108,23,17,2,2,0,,,12,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
77,AK Markram,CJ Jordan,RR Hendricks,,1,0,1,100,107,24,18,2,3,0,,,12,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
78,RR Hendricks,CJ Jordan,AK Markram,,1,0,1,101,106,42,39,2,4,0,,,12,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
79,AK Markram,CJ Jordan,RR Hendricks,,0,1,1,102,105,24,19,2,5,0,,,12,wides,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
80,AK Markram,CJ Jordan,RR Hendricks,,1,0,1,103,104,25,20,2,6,0,,,12,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
81,RR Hendricks,CJ Jordan,AK Markram,,1,0,1,104,103,43,40,2,7,0,,,12,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
82,RR Hendricks,AU Rashid,AK Markram,,4,0,4,108,99,47,41,2,1,0,,,13,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
83,RR Hendricks,AU Rashid,AK Markram,,1,0,1,109,98,48,42,2,2,0,,,13,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
84,AK Markram,AU Rashid,RR Hendricks,,1,0,1,110,97,26,21,2,3,0,,,13,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
85,RR Hendricks,AU Rashid,AK Markram,,1,0,1,111,96,49,43,2,4,0,,,13,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
86,AK Markram,AU Rashid,RR Hendricks,,4,0,4,115,92,30,22,2,5,0,,,13,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
87,AK Markram,AU Rashid,RR Hendricks,,1,0,1,116,91,31,23,2,6,0,,,13,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
