,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
66,Khushdil Shah,IS Sodhi,Mohammad Hafeez,0,0,0,73,80,2,8,4,1,12,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
67,Khushdil Shah,IS Sodhi,Mohammad Hafeez,0,0,0,73,80,2,9,4,2,12,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
68,Khushdil Shah,IS Sodhi,Mohammad Hafeez,1,0,1,74,79,3,10,4,3,12,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
69,Mohammad Hafeez,IS Sodhi,Khushdil Shah,0,0,0,74,79,36,27,4,4,12,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
70,Mohammad Hafeez,IS Sodhi,Khushdil Shah,0,0,0,74,79,36,28,4,5,12,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
71,Mohammad Hafeez,IS Sodhi,Khushdil Shah,4,0,4,78,75,40,29,4,6,12,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
72,Khushdil Shah,KA Jamieson,Mohammad Hafeez,1,0,1,79,74,4,11,4,1,13,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
73,Mohammad Hafeez,KA Jamieson,Khushdil Shah,1,0,1,80,73,41,30,4,2,13,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
74,Khushdil Shah,KA Jamieson,Mohammad Hafeez,4,0,4,84,69,8,12,4,3,13,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
75,Khushdil Shah,KA Jamieson,Mohammad Hafeez,0,0,0,84,69,8,13,4,4,13,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
76,Khushdil Shah,KA Jamieson,Mohammad Hafeez,0,0,0,84,69,8,14,4,5,13,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
77,Khushdil Shah,KA Jamieson,Mohammad Hafeez,2,0,2,86,67,10,15,4,6,13,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
78,Mohammad Hafeez,IS Sodhi,Khushdil Shah,1,0,1,87,66,42,31,4,1,14,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
79,Khushdil Shah,IS Sodhi,Mohammad Hafeez,1,0,1,88,65,11,16,4,2,14,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
80,Mohammad Hafeez,IS Sodhi,Khushdil Shah,1,0,1,89,64,43,32,4,3,14,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
81,Khushdil Shah,IS Sodhi,Mohammad Hafeez,1,0,1,90,63,12,17,4,4,14,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
82,Mohammad Hafeez,IS Sodhi,Khushdil Shah,0,0,0,90,63,43,33,4,5,14,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
83,Mohammad Hafeez,IS Sodhi,Khushdil Shah,0,0,0,90,63,43,34,4,6,14,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
84,Khushdil Shah,SC Kuggeleijn,Mohammad Hafeez,1,0,1,91,62,13,18,4,1,15,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
85,Mohammad Hafeez,SC Kuggeleijn,Khushdil Shah,2,0,2,93,60,45,35,4,2,15,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
86,Mohammad Hafeez,SC Kuggeleijn,Khushdil Shah,2,0,2,95,58,47,36,4,3,15,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
87,Mohammad Hafeez,SC Kuggeleijn,Khushdil Shah,6,0,6,101,52,53,37,4,4,15,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
88,Mohammad Hafeez,SC Kuggeleijn,Khushdil Shah,6,0,6,107,46,59,38,4,5,15,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
89,Mohammad Hafeez,SC Kuggeleijn,Khushdil Shah,0,0,0,107,46,59,39,4,6,15,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
90,Khushdil Shah,IS Sodhi,Mohammad Hafeez,1,0,1,108,45,14,19,4,1,16,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
91,Mohammad Hafeez,IS Sodhi,Khushdil Shah,4,0,4,112,41,63,40,4,2,16,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
92,Mohammad Hafeez,IS Sodhi,Khushdil Shah,6,0,6,118,35,69,41,4,3,16,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
93,Mohammad Hafeez,IS Sodhi,Khushdil Shah,0,0,0,118,35,69,42,4,4,16,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
94,Mohammad Hafeez,IS Sodhi,Khushdil Shah,1,0,1,119,34,70,43,4,5,16,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
95,Khushdil Shah,IS Sodhi,Mohammad Hafeez,0,0,0,119,34,14,20,5,6,16,caught,Khushdil Shah,MJ Guptill,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
96,Mohammad Hafeez,TA Boult,Faheem Ashraf,1,0,1,120,33,71,44,5,1,17,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
97,Faheem Ashraf,TA Boult,Mohammad Hafeez,0,0,0,120,33,0,1,5,2,17,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
98,Faheem Ashraf,TA Boult,Mohammad Hafeez,2,0,2,122,31,2,2,5,3,17,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
99,Faheem Ashraf,TA Boult,Mohammad Hafeez,1,0,1,123,30,3,3,5,4,17,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
100,Mohammad Hafeez,TA Boult,Faheem Ashraf,4,0,4,127,26,75,45,5,5,17,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
101,Mohammad Hafeez,TA Boult,Faheem Ashraf,1,0,1,128,25,76,46,5,6,17,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
102,Mohammad Hafeez,TG Southee,Faheem Ashraf,2,0,2,130,23,78,47,5,1,18,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
103,Mohammad Hafeez,TG Southee,Faheem Ashraf,0,1,1,131,22,78,48,5,2,18,0,,,legbyes,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
104,Faheem Ashraf,TG Southee,Mohammad Hafeez,1,0,1,132,21,4,4,5,3,18,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
105,Mohammad Hafeez,TG Southee,Faheem Ashraf,1,0,1,133,20,79,49,5,4,18,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
106,Faheem Ashraf,TG Southee,Mohammad Hafeez,0,0,0,133,20,4,5,6,5,18,caught,Faheem Ashraf,KS Williamson,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
107,Mohammad Hafeez,TG Southee,Imad Wasim,1,0,1,134,19,80,50,6,6,18,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
108,Mohammad Hafeez,TA Boult,Imad Wasim,1,0,1,135,18,81,51,6,1,19,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
109,Imad Wasim,TA Boult,Mohammad Hafeez,0,0,0,135,18,0,1,6,2,19,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
110,Imad Wasim,TA Boult,Mohammad Hafeez,4,0,4,139,14,4,2,6,3,19,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
111,Imad Wasim,TA Boult,Mohammad Hafeez,4,0,4,143,10,8,3,6,4,19,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
112,Imad Wasim,TA Boult,Mohammad Hafeez,1,0,1,144,9,9,4,6,5,19,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
