,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
90,Azmatullah Omarzai,M Pathirana,Mohammad Nabi,0,0,0,150,12,13,6,15,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
91,Azmatullah Omarzai,M Pathirana,Mohammad Nabi,4,0,4,154,16,14,7,15,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
92,Mohammad Nabi,PWH de Silva,Azmatullah Omarzai,2,0,2,156,4,4,1,16,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
93,Mohammad Nabi,PWH de Silva,Azmatullah Omarzai,1,0,1,157,5,5,2,16,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
94,Azmatullah Omarzai,PWH de Silva,Mohammad Nabi,2,0,2,159,18,15,3,16,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
95,Azmatullah Omarzai,PWH de Silva,Mohammad Nabi,1,0,1,160,19,16,4,16,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
96,Mohammad Nabi,PWH de Silva,Azmatullah Omarzai,0,0,0,160,5,6,5,16,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
97,Mohammad Nabi,PWH de Silva,Azmatullah Omarzai,1,0,1,161,6,7,6,16,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
98,Mohammad Nabi,M Pathirana,Azmatullah Omarzai,1,0,1,162,7,8,1,17,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
99,Azmatullah Omarzai,M Pathirana,Mohammad Nabi,0,0,0,162,19,17,2,17,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
100,Azmatullah Omarzai,M Pathirana,Mohammad Nabi,2,0,2,164,21,18,3,17,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
101,Azmatullah Omarzai,M Pathirana,Mohammad Nabi,4,0,4,168,25,19,4,17,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
102,Azmatullah Omarzai,M Pathirana,Mohammad Nabi,1,0,1,169,26,20,5,17,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
103,Mohammad Nabi,M Pathirana,Azmatullah Omarzai,2,0,2,171,9,9,6,17,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
104,Azmatullah Omarzai,N Thushara,Mohammad Nabi,4,0,4,175,30,21,1,18,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
