,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
106,Shoaib Malik,Mustafizur Rahman,Imad Wasim,,0,0,0,125,16,47,40,4,2,-,0,,,17,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
107,Shoaib Malik,Mustafizur Rahman,Imad Wasim,,4,0,4,129,12,51,41,4,3,-,0,,,17,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
108,Shoaib Malik,Mustafizur Rahman,Imad Wasim,,2,0,2,131,10,53,42,4,4,-,0,,,17,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
109,Shoaib Malik,Mustafizur Rahman,Imad Wasim,,1,0,1,132,9,54,43,4,5,-,0,,,17,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
110,Imad Wasim,Mustafizur Rahman,Shoaib Malik,,1,0,1,133,8,6,3,4,6,-,0,,,17,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
111,Imad Wasim,Al-Amin Hossain,Shoaib Malik,,0,0,0,133,8,6,4,5,1,-,bowled,Imad Wasim,,18,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
112,Mohammad Rizwan,Al-Amin Hossain,Shoaib Malik,,2,0,2,135,6,2,1,5,2,-,0,,,18,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
113,Mohammad Rizwan,Al-Amin Hossain,Shoaib Malik,,0,0,0,135,6,2,2,5,3,-,0,,,18,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
114,Mohammad Rizwan,Al-Amin Hossain,Shoaib Malik,,0,0,0,135,6,2,3,5,4,-,0,,,18,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
115,Mohammad Rizwan,Al-Amin Hossain,Shoaib Malik,,1,0,1,136,5,3,4,5,5,-,0,,,18,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
116,Shoaib Malik,Al-Amin Hossain,Mohammad Rizwan,,1,0,1,137,4,55,44,5,6,-,0,,,18,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
117,Shoaib Malik,Soumya Sarkar,Mohammad Rizwan,,2,0,2,139,2,57,45,5,1,-,0,,,19,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
118,Shoaib Malik,Soumya Sarkar,Mohammad Rizwan,,1,0,1,140,1,58,46,5,2,-,0,,,19,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
119,Mohammad Rizwan,Soumya Sarkar,Shoaib Malik,,2,0,2,142,-1,5,5,5,3,-,0,,,19,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
