,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,review,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
88,L Tucker,IS Sodhi,GH Dockrell,0,0,0,102,13,14,4,15,,-,caught,L Tucker,FH Allen,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
89,C Campher,IS Sodhi,GH Dockrell,0,0,0,102,0,1,5,15,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
90,C Campher,IS Sodhi,GH Dockrell,1,0,1,103,1,2,6,15,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
91,C Campher,TA Boult,GH Dockrell,4,0,4,107,5,3,1,16,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
92,C Campher,TA Boult,GH Dockrell,0,0,0,107,5,4,2,16,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
93,C Campher,TA Boult,GH Dockrell,1,0,1,108,6,5,3,16,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
94,GH Dockrell,TA Boult,C Campher,2,0,2,110,8,8,4,16,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
95,GH Dockrell,TA Boult,C Campher,4,0,4,114,12,9,5,16,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
96,GH Dockrell,TA Boult,C Campher,4,0,4,118,16,10,6,16,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
97,C Campher,TG Southee,GH Dockrell,1,0,1,119,7,6,1,17,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
98,GH Dockrell,TG Southee,C Campher,1,0,1,120,17,11,2,17,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
99,C Campher,TG Southee,GH Dockrell,0,0,0,120,7,7,3,17,,-,caught,C Campher,FH Allen,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
100,F Hand,TG Southee,GH Dockrell,1,0,1,121,1,1,4,17,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
101,GH Dockrell,TG Southee,F Hand,1,0,1,122,18,12,5,17,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
102,F Hand,TG Southee,GH Dockrell,4,0,4,126,5,2,6,17,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
103,GH Dockrell,LH Ferguson,F Hand,4,0,4,130,22,13,1,18,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
104,GH Dockrell,LH Ferguson,F Hand,1,0,1,131,23,14,2,18,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
