,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
55,EJG Morgan,C Karunaratne,JC Buttler,0,0,0,44,,5,12,3,-,6.0,8,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Medium
56,JC Buttler,M Theekshana,EJG Morgan,0,0,0,44,,22,28,3,-,1.0,9,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Left hand Bat,Right arm Offbreak
57,JC Buttler,M Theekshana,EJG Morgan,1,0,1,45,,23,29,3,-,2.0,9,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Left hand Bat,Right arm Offbreak
58,EJG Morgan,M Theekshana,JC Buttler,0,0,0,45,,5,13,3,-,3.0,9,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Offbreak
59,EJG Morgan,M Theekshana,JC Buttler,0,0,0,45,,5,14,3,-,4.0,9,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Offbreak
60,EJG Morgan,M Theekshana,JC Buttler,1,0,1,46,,6,15,3,-,5.0,9,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Offbreak
61,JC Buttler,M Theekshana,EJG Morgan,1,0,1,47,,24,30,3,-,6.0,9,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Left hand Bat,Right arm Offbreak
62,JC Buttler,CBRLS Kumara,EJG Morgan,4,0,4,51,,28,31,3,-,1.0,10,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Left hand Bat,Right arm Fast
63,JC Buttler,CBRLS Kumara,EJG Morgan,2,0,2,53,,30,32,3,-,2.0,10,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Left hand Bat,Right arm Fast
64,JC Buttler,CBRLS Kumara,EJG Morgan,0,1,1,54,,30,33,3,wides,2.0,10,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Left hand Bat,Right arm Fast
65,JC Buttler,CBRLS Kumara,EJG Morgan,2,0,2,56,,32,34,3,-,3.0,10,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Left hand Bat,Right arm Fast
66,JC Buttler,CBRLS Kumara,EJG Morgan,1,0,1,57,,33,35,3,-,4.0,10,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Left hand Bat,Right arm Fast
67,EJG Morgan,CBRLS Kumara,JC Buttler,1,0,1,58,,7,16,3,-,5.0,10,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Fast
68,JC Buttler,CBRLS Kumara,EJG Morgan,1,0,1,59,,34,36,3,-,6.0,10,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Left hand Bat,Right arm Fast
