,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
76,Shakib Al Hasan,IS Sodhi,Nurul Hasan,0,0,0,108,100,39,25,4,4,13,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
77,Shakib Al Hasan,IS Sodhi,Nurul Hasan,1,0,1,109,99,40,26,4,5,13,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
78,Nurul Hasan,IS Sodhi,Shakib Al Hasan,0,0,0,109,99,1,3,4,6,13,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
79,Shakib Al Hasan,MG Bracewell,Nurul Hasan,2,0,2,111,97,42,27,4,1,14,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
80,Shakib Al Hasan,MG Bracewell,Nurul Hasan,4,0,4,115,93,46,28,4,2,14,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
81,Shakib Al Hasan,MG Bracewell,Nurul Hasan,0,0,0,115,93,46,29,4,3,14,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
82,Shakib Al Hasan,MG Bracewell,Nurul Hasan,0,2,2,117,91,46,30,4,4,14,wides,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
83,Nurul Hasan,MG Bracewell,Shakib Al Hasan,1,0,1,118,90,2,4,4,5,14,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
84,Shakib Al Hasan,MG Bracewell,Nurul Hasan,1,0,1,119,89,47,31,4,6,14,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
85,Nurul Hasan,MG Bracewell,Shakib Al Hasan,0,0,0,119,89,2,5,4,7,14,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
86,Shakib Al Hasan,AF Milne,Nurul Hasan,1,0,1,120,88,48,32,4,1,15,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
87,Nurul Hasan,AF Milne,Shakib Al Hasan,0,0,0,120,88,2,6,5,2,15,-,,caught,Nurul Hasan,GD Phillips,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
