,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,replacements,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
35,Q Joseph,K Kavindi,HK Matthews,0,0,0,33,,13,13,0,-,4.0,5,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Left hand Bat,Right hand Bat,Right arm Medium
36,Q Joseph,K Kavindi,HK Matthews,0,0,0,33,,13,14,0,-,5.0,5,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Left hand Bat,Right hand Bat,Right arm Medium
37,Q Joseph,K Kavindi,HK Matthews,1,0,1,34,,14,15,0,-,6.0,5,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Left hand Bat,Right hand Bat,Right arm Medium
38,Q Joseph,AC Jayangani,HK Matthews,0,0,0,34,,14,16,0,-,1.0,6,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Left hand Bat,Right hand Bat,Right arm Offbreak
39,Q Joseph,AC Jayangani,HK Matthews,6,0,6,40,,20,17,0,-,2.0,6,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Left hand Bat,Right hand Bat,Right arm Offbreak
40,Q Joseph,AC Jayangani,HK Matthews,0,0,0,40,,20,18,1,-,3.0,6,,bowled,Q Joseph,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Left hand Bat,Right hand Bat,Right arm Offbreak
41,SA Campbelle,AC Jayangani,HK Matthews,2,0,2,42,,2,1,1,-,4.0,6,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Right hand Bat,Right arm Offbreak
42,SA Campbelle,AC Jayangani,HK Matthews,0,0,0,42,,2,2,1,-,5.0,6,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Right hand Bat,Right arm Offbreak
43,SA Campbelle,AC Jayangani,HK Matthews,0,0,0,42,,2,3,1,-,6.0,6,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Right hand Bat,Right arm Offbreak
44,HK Matthews,WK Dilhari,SA Campbelle,1,0,1,43,,12,13,1,-,1.0,7,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Right hand Bat,Right arm Offbreak
45,SA Campbelle,WK Dilhari,HK Matthews,0,0,0,43,,2,4,1,-,2.0,7,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Right hand Bat,Right arm Offbreak
46,SA Campbelle,WK Dilhari,HK Matthews,1,0,1,44,,3,5,1,-,3.0,7,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Right hand Bat,Right arm Offbreak
47,HK Matthews,WK Dilhari,SA Campbelle,0,0,0,44,,12,14,1,-,4.0,7,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Right hand Bat,Right arm Offbreak
48,HK Matthews,WK Dilhari,SA Campbelle,4,0,4,48,,16,15,1,-,5.0,7,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Right hand Bat,Right arm Offbreak
49,HK Matthews,WK Dilhari,SA Campbelle,0,0,0,48,,16,16,1,-,6.0,7,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Right hand Bat,Right arm Offbreak
50,SA Campbelle,SIP Fernando,HK Matthews,2,0,2,50,,5,6,1,-,1.0,8,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Right hand Bat,Right arm Offbreak
51,SA Campbelle,SIP Fernando,HK Matthews,0,0,0,50,,5,7,2,-,2.0,8,,lbw,SA Campbelle,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Right hand Bat,Right arm Offbreak
52,CN Nation,SIP Fernando,HK Matthews,1,0,1,51,,1,1,2,-,3.0,8,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Right hand Bat,Right arm Offbreak
53,HK Matthews,SIP Fernando,CN Nation,2,0,2,53,,18,17,2,-,4.0,8,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Right hand Bat,Right arm Offbreak
54,HK Matthews,SIP Fernando,CN Nation,0,0,0,53,,18,18,2,-,5.0,8,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Right hand Bat,Right arm Offbreak
55,HK Matthews,SIP Fernando,CN Nation,1,0,1,54,,19,19,2,-,6.0,8,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Right hand Bat,Right arm Offbreak
