,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
88,Naseem Shah,Rashid Khan,Imad Wasim,,1,0,1,69,55,2,4,7,5,15,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
89,Imad Wasim,Rashid Khan,Naseem Shah,,1,0,1,70,54,14,21,7,6,15,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
90,Imad Wasim,Mohammad Nabi,Naseem Shah,,1,0,1,71,53,15,22,7,1,16,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
91,Naseem Shah,Mohammad Nabi,Imad Wasim,,0,0,0,71,53,2,5,7,2,16,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
92,Naseem Shah,Mohammad Nabi,Imad Wasim,,0,0,0,71,53,2,6,7,3,16,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
93,Naseem Shah,Mohammad Nabi,Imad Wasim,,0,0,0,71,53,2,7,8,4,16,hit wicket,Naseem Shah,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
94,Zaman Khan,Mohammad Nabi,Imad Wasim,,0,0,0,71,53,0,1,8,5,16,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
95,Zaman Khan,Mohammad Nabi,Imad Wasim,,6,0,6,77,47,6,2,8,6,16,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
96,Imad Wasim,Rashid Khan,Zaman Khan,,2,0,2,79,45,17,23,8,1,17,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
97,Imad Wasim,Rashid Khan,Zaman Khan,,0,0,0,79,45,17,24,8,2,17,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
98,Imad Wasim,Rashid Khan,Zaman Khan,,0,0,0,79,45,17,25,8,3,17,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
99,Imad Wasim,Rashid Khan,Zaman Khan,,0,0,0,79,45,17,26,8,4,17,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
100,Imad Wasim,Rashid Khan,Zaman Khan,,1,0,1,80,44,18,27,8,5,17,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
