,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,review,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
112,KIC Asalanka,JJ Bumrah,PVD Chameera,0,0,0,127,48,42,3,0,,,19,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
113,KIC Asalanka,JJ Bumrah,PVD Chameera,2,0,2,129,50,43,4,0,,,19,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
114,KIC Asalanka,JJ Bumrah,PVD Chameera,1,0,1,130,51,44,5,0,,,19,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
115,PVD Chameera,JJ Bumrah,KIC Asalanka,1,0,1,131,20,13,6,0,,,19,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
116,PVD Chameera,HV Patel,KIC Asalanka,1,0,1,132,21,14,1,0,,,20,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
117,KIC Asalanka,HV Patel,PVD Chameera,1,0,1,133,52,45,2,0,,,20,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
118,PVD Chameera,HV Patel,KIC Asalanka,1,0,1,134,22,15,3,0,,,20,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
119,KIC Asalanka,HV Patel,PVD Chameera,0,0,0,134,52,46,4,0,,,20,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
120,KIC Asalanka,HV Patel,PVD Chameera,1,0,1,135,53,47,5,0,,,20,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
121,PVD Chameera,HV Patel,KIC Asalanka,2,0,2,137,24,16,6,0,,,20,,-,field,Sri Lanka,2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2022-02-24,Sri Lanka,India
