,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
74,CR Brathwaite,RA Jadeja,KA Pollard,0,0,0,54,5,19,6,-,0,,,12,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
75,KA Pollard,KH Pandya,CR Brathwaite,0,0,0,54,18,27,1,-,0,,,13,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
76,KA Pollard,KH Pandya,CR Brathwaite,1,0,1,55,19,28,2,-,0,,,13,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
77,CR Brathwaite,KH Pandya,KA Pollard,1,0,1,56,6,20,3,-,0,,,13,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
78,KA Pollard,KH Pandya,CR Brathwaite,0,0,0,56,19,29,4,-,0,,,13,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
79,KA Pollard,KH Pandya,CR Brathwaite,6,0,6,62,25,30,5,-,0,,,13,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
80,KA Pollard,KH Pandya,CR Brathwaite,1,0,1,63,26,31,6,-,0,,,13,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
81,KA Pollard,RA Jadeja,CR Brathwaite,0,0,0,63,26,32,1,-,0,,,14,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
82,KA Pollard,RA Jadeja,CR Brathwaite,0,0,0,63,26,33,2,-,0,,,14,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
83,KA Pollard,RA Jadeja,CR Brathwaite,0,0,0,63,26,34,3,-,0,,,14,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
84,KA Pollard,RA Jadeja,CR Brathwaite,1,0,1,64,27,35,4,-,0,,,14,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
85,CR Brathwaite,RA Jadeja,KA Pollard,0,0,0,64,6,21,5,-,0,,,14,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
86,CR Brathwaite,RA Jadeja,KA Pollard,1,0,1,65,7,22,6,-,0,,,14,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
87,CR Brathwaite,KH Pandya,KA Pollard,2,0,2,67,9,23,1,-,0,,,15,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
88,CR Brathwaite,KH Pandya,KA Pollard,0,0,0,67,9,24,2,-,caught and bowled,CR Brathwaite,,15,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
89,SP Narine,KH Pandya,KA Pollard,0,0,0,67,0,1,3,-,0,,,15,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
90,SP Narine,KH Pandya,KA Pollard,1,0,1,68,1,2,4,-,0,,,15,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
91,KA Pollard,KH Pandya,SP Narine,1,0,1,69,28,36,5,-,0,,,15,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
92,SP Narine,KH Pandya,KA Pollard,1,0,1,70,2,3,6,-,0,,,15,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
93,SP Narine,RA Jadeja,KA Pollard,0,0,0,70,2,4,1,-,caught,SP Narine,KK Ahmed,16,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
94,KMA Paul,RA Jadeja,KA Pollard,0,0,0,70,0,1,2,-,0,,,16,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
95,KMA Paul,RA Jadeja,KA Pollard,0,0,0,70,0,2,3,-,0,,,16,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
96,KMA Paul,RA Jadeja,KA Pollard,0,0,0,70,0,3,4,-,0,,,16,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
97,KMA Paul,RA Jadeja,KA Pollard,0,0,0,70,0,4,5,-,0,,,16,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
98,KMA Paul,RA Jadeja,KA Pollard,0,0,0,70,0,5,6,-,0,,,16,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
99,KA Pollard,B Kumar,KMA Paul,1,0,1,71,29,37,1,-,0,,,17,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
100,KMA Paul,B Kumar,KA Pollard,1,0,1,72,1,6,2,-,0,,,17,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
101,KA Pollard,B Kumar,KMA Paul,0,0,0,72,29,38,3,-,0,,,17,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
102,KA Pollard,B Kumar,KMA Paul,2,0,2,74,31,39,4,-,0,,,17,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
103,KA Pollard,B Kumar,KMA Paul,4,0,4,78,35,40,5,-,0,,,17,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
104,KA Pollard,B Kumar,KMA Paul,0,0,0,78,35,41,6,-,0,,,17,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
105,KMA Paul,Navdeep Saini,KA Pollard,0,0,0,78,1,7,1,-,0,,,18,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
106,KMA Paul,Navdeep Saini,KA Pollard,0,0,0,78,1,8,2,-,0,,,18,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
107,KMA Paul,Navdeep Saini,KA Pollard,1,0,1,79,2,9,3,-,0,,,18,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
108,KA Pollard,Navdeep Saini,KMA Paul,6,0,6,85,41,42,4,-,0,,,18,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
109,KA Pollard,Navdeep Saini,KMA Paul,1,0,1,86,42,43,5,-,0,,,18,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
110,KMA Paul,Navdeep Saini,KA Pollard,0,1,1,87,2,10,6,wides,0,,,18,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
111,KMA Paul,Navdeep Saini,KA Pollard,1,0,1,88,3,11,7,-,0,,,18,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
112,KMA Paul,B Kumar,KA Pollard,0,0,0,88,3,12,1,-,caught,KMA Paul,V Kohli,19,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
113,KA Pollard,B Kumar,SS Cottrell,0,0,0,88,42,44,2,-,0,,,19,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
114,KA Pollard,B Kumar,SS Cottrell,0,0,0,88,42,45,3,-,0,,,19,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
115,KA Pollard,B Kumar,SS Cottrell,6,0,6,94,48,46,4,-,0,,,19,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
116,KA Pollard,B Kumar,SS Cottrell,1,0,1,95,49,47,5,-,0,,,19,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
117,SS Cottrell,B Kumar,KA Pollard,0,0,0,95,0,1,6,-,0,,,19,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
118,KA Pollard,Navdeep Saini,SS Cottrell,0,0,0,95,49,48,1,-,0,,,20,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
119,KA Pollard,Navdeep Saini,SS Cottrell,0,0,0,95,49,49,2,-,0,,,20,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
120,KA Pollard,Navdeep Saini,SS Cottrell,0,0,0,95,49,50,3,-,lbw,KA Pollard,,20,"{'by': 'India', 'umpire': 'N Duguid', 'batter': 'KA Pollard', 'decision': 'upheld'}",field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
121,O Thomas,Navdeep Saini,SS Cottrell,0,0,0,95,0,1,4,-,0,,,20,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
122,O Thomas,Navdeep Saini,SS Cottrell,0,0,0,95,0,2,5,-,0,,,20,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
123,O Thomas,Navdeep Saini,SS Cottrell,0,0,0,95,0,3,6,-,0,,,20,,field,India,1,Central Broward Regional Park Stadium Turf Ground,2019-08-03,West Indies,India
