,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
81,RR Pant,Afif Hossain,S Dhawan,,0,0,0,84,,4,9,3,-,4.0,0,,,13,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
82,RR Pant,Afif Hossain,S Dhawan,,1,0,1,85,,5,10,3,-,5.0,0,,,13,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
83,S Dhawan,Afif Hossain,RR Pant,,0,0,0,85,,34,39,3,-,6.0,0,,,13,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
84,RR Pant,Mahmudullah,S Dhawan,,1,0,1,86,,6,11,3,-,1.0,0,,,14,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
85,S Dhawan,Mahmudullah,RR Pant,,6,0,6,92,,40,40,3,-,2.0,0,,,14,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
86,S Dhawan,Mahmudullah,RR Pant,,0,0,0,92,,40,41,3,-,3.0,0,,,14,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
87,S Dhawan,Mahmudullah,RR Pant,,0,1,1,93,,40,42,3,wides,3.0,0,,,14,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
88,S Dhawan,Mahmudullah,RR Pant,,1,0,1,94,,41,43,3,-,4.0,0,,,14,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
89,RR Pant,Mahmudullah,S Dhawan,,1,0,1,95,,7,12,4,-,5.0,run out,S Dhawan,,14,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
90,S Dube,Mahmudullah,RR Pant,,0,0,0,95,,0,1,4,-,6.0,0,,,14,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
91,RR Pant,Afif Hossain,S Dube,,1,0,1,96,,8,13,4,-,1.0,0,,,15,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
92,S Dube,Afif Hossain,RR Pant,,0,0,0,96,,0,2,4,-,2.0,0,,,15,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
93,S Dube,Afif Hossain,RR Pant,,1,0,1,97,,1,3,4,-,3.0,0,,,15,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
94,RR Pant,Afif Hossain,S Dube,,4,0,4,101,,12,14,4,-,4.0,0,,,15,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
95,RR Pant,Afif Hossain,S Dube,,1,0,1,102,,13,15,4,-,5.0,0,,,15,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
