,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,review,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
113,N Pooran,L Ngidi,DJ Bravo,1,0,1,139,29,19,13,6,6,18,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
114,N Pooran,K Rabada,DJ Bravo,1,0,1,140,28,20,14,6,1,19,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
115,DJ Bravo,K Rabada,N Pooran,0,0,0,140,28,1,2,7,2,19,,caught,DJ Bravo,T Bavuma,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
116,N Pooran,K Rabada,AJ Hosein,0,0,0,140,28,20,15,8,3,19,,caught,N Pooran,Q de Kock,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
117,AJ Hosein,K Rabada,OC McCoy,1,0,1,141,27,1,1,8,4,19,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
118,OC McCoy,K Rabada,AJ Hosein,1,0,1,142,26,1,1,8,5,19,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
119,AJ Hosein,K Rabada,OC McCoy,0,0,0,142,26,1,2,8,6,19,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
120,OC McCoy,L Ngidi,AJ Hosein,0,0,0,142,26,1,2,8,1,20,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
121,OC McCoy,L Ngidi,AJ Hosein,0,0,0,142,26,1,3,9,2,20,,caught,OC McCoy,PWA Mulder,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
122,AJ Hosein,L Ngidi,FH Edwards,1,0,1,143,25,2,3,9,3,20,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
123,FH Edwards,L Ngidi,AJ Hosein,0,0,0,143,25,0,1,9,4,20,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
124,FH Edwards,L Ngidi,AJ Hosein,0,0,0,143,25,0,2,9,5,20,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
125,FH Edwards,L Ngidi,AJ Hosein,0,0,0,143,25,0,3,9,6,20,,0,,,-,bat,South Africa,2,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,West Indies,South Africa,143
