,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
81,JJ van der Wath,IK Pathan,JA Morkel,1,0,1,76,39,1,2,5,6,-,13,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
82,JJ van der Wath,S Sreesanth,JA Morkel,0,0,0,76,39,1,3,5,1,-,14,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
83,JJ van der Wath,S Sreesanth,JA Morkel,0,0,0,76,39,1,4,5,2,-,14,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
84,JJ van der Wath,S Sreesanth,JA Morkel,0,0,0,76,39,1,5,5,3,-,14,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
85,JJ van der Wath,S Sreesanth,JA Morkel,0,1,1,77,38,1,6,5,4,legbyes,14,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
86,JA Morkel,S Sreesanth,JJ van der Wath,0,0,0,77,38,14,13,5,5,-,14,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
87,JA Morkel,S Sreesanth,JJ van der Wath,6,0,6,83,32,20,14,5,6,-,14,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
88,JJ van der Wath,Harbhajan Singh,JA Morkel,1,0,1,84,31,2,7,5,1,-,15,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
89,JA Morkel,Harbhajan Singh,JJ van der Wath,0,1,1,85,30,20,15,5,2,legbyes,15,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
90,JJ van der Wath,Harbhajan Singh,JA Morkel,1,0,1,86,29,3,8,5,3,-,15,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
