,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
35,TWM Latham,C Karunaratne,DJ Mitchell,4,0,4,58,138,26,14,2,6,0,,,6,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
36,DJ Mitchell,M Theekshana,TWM Latham,0,0,0,58,138,30,17,2,1,0,,,7,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
37,DJ Mitchell,M Theekshana,TWM Latham,4,0,4,62,134,34,18,2,2,0,,,7,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
38,DJ Mitchell,M Theekshana,TWM Latham,0,0,0,62,134,34,19,2,3,0,,,7,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
39,DJ Mitchell,M Theekshana,TWM Latham,0,0,0,62,134,34,20,2,4,0,,,7,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
40,DJ Mitchell,M Theekshana,TWM Latham,0,0,0,62,134,34,21,2,5,0,,,7,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
41,DJ Mitchell,M Theekshana,TWM Latham,1,0,1,63,133,35,22,2,6,0,,,7,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
42,DJ Mitchell,PM Liyanagamage,TWM Latham,1,0,1,64,132,36,23,2,1,0,,,8,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
43,TWM Latham,PM Liyanagamage,DJ Mitchell,1,0,1,65,131,27,15,2,2,0,,,8,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
44,DJ Mitchell,PM Liyanagamage,TWM Latham,1,0,1,66,130,37,24,2,3,0,,,8,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
