,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
89,SD Hope,AR Patel,BA King,2,0,2,128,37,7,5,2,3,15,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
90,SD Hope,AR Patel,BA King,4,0,4,132,33,11,6,2,4,15,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
91,SD Hope,AR Patel,BA King,0,0,0,132,33,11,7,2,5,15,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
92,SD Hope,AR Patel,BA King,0,0,0,132,33,11,8,2,6,15,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
93,BA King,YS Chahal,SD Hope,0,0,0,132,33,57,43,2,1,16,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
94,BA King,YS Chahal,SD Hope,2,0,2,134,31,59,44,2,2,16,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
95,BA King,YS Chahal,SD Hope,1,0,1,135,30,60,45,2,3,16,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
96,SD Hope,YS Chahal,BA King,1,0,1,136,29,12,9,2,4,16,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
97,BA King,YS Chahal,SD Hope,6,0,6,142,23,66,46,2,5,16,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
98,BA King,YS Chahal,SD Hope,6,0,6,148,17,72,47,2,6,16,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
99,SD Hope,Tilak Varma,BA King,1,0,1,149,16,13,10,2,1,17,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
100,BA King,Tilak Varma,SD Hope,0,0,0,149,16,72,48,2,2,17,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
