,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extras,review,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
110,RP Burl,PVD Chameera,LM Jongwe,6,0,6,143,13,9,3,18,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
111,RP Burl,PVD Chameera,LM Jongwe,0,0,0,143,13,10,4,18,,"{'by': 'Sri Lanka', 'umpire': 'RR Wimalasiri', 'batter': 'RP Burl', 'decision': 'upheld', 'type': 'wicket'}",-,caught,RP Burl,BKG Mendis,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
112,C Madande,PVD Chameera,LM Jongwe,1,0,1,144,1,1,5,18,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
113,LM Jongwe,PVD Chameera,C Madande,0,0,0,144,6,4,6,18,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
114,C Madande,D Madushanka,LM Jongwe,1,0,1,145,2,2,1,19,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
115,LM Jongwe,D Madushanka,C Madande,1,0,1,146,7,5,2,19,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
116,C Madande,D Madushanka,LM Jongwe,6,0,6,152,8,3,3,19,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
117,C Madande,D Madushanka,LM Jongwe,1,0,1,153,9,4,4,19,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
118,LM Jongwe,D Madushanka,C Madande,0,0,0,153,7,6,5,19,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
119,LM Jongwe,D Madushanka,C Madande,1,0,1,154,8,7,6,19,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
120,LM Jongwe,AD Mathews,C Madande,6,1,7,161,14,8,1,20,{'noballs': 1},,noballs,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
121,LM Jongwe,AD Mathews,C Madande,4,0,4,165,18,9,2,20,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
122,LM Jongwe,AD Mathews,C Madande,6,0,6,171,24,10,3,20,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
123,LM Jongwe,AD Mathews,C Madande,0,0,0,171,24,11,4,20,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
124,LM Jongwe,AD Mathews,C Madande,1,0,1,172,25,12,5,20,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
125,C Madande,AD Mathews,LM Jongwe,6,0,6,178,15,5,6,20,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
