,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
57,S Samarawickrama,Qais Ahmad,PWH de Silva,1,0,1,79,,13,11,4,-,2.0,0,,,9,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Right arm Legbreak
58,PWH de Silva,Qais Ahmad,S Samarawickrama,1,0,1,80,,19,10,4,-,3.0,0,,,9,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Right arm Legbreak
59,S Samarawickrama,Qais Ahmad,PWH de Silva,0,0,0,80,,13,12,4,-,4.0,0,,,9,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Right arm Legbreak
60,S Samarawickrama,Qais Ahmad,PWH de Silva,1,0,1,81,,14,13,4,-,5.0,0,,,9,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Right arm Legbreak
61,PWH de Silva,Qais Ahmad,S Samarawickrama,1,0,1,82,,20,11,4,-,6.0,0,,,9,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Right arm Legbreak
62,PWH de Silva,Noor Ahmad,S Samarawickrama,2,0,2,84,,22,12,4,-,1.0,0,,,10,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Left arm Wrist spin
63,PWH de Silva,Noor Ahmad,S Samarawickrama,1,0,1,85,,23,13,4,-,2.0,0,,,10,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Left arm Wrist spin
64,S Samarawickrama,Noor Ahmad,PWH de Silva,1,0,1,86,,15,14,4,-,3.0,0,,,10,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Left arm Wrist spin
65,PWH de Silva,Noor Ahmad,S Samarawickrama,2,0,2,88,,25,14,4,-,4.0,0,,,10,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Left arm Wrist spin
66,PWH de Silva,Noor Ahmad,S Samarawickrama,0,0,0,88,,25,15,4,-,5.0,0,,,10,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Left arm Wrist spin
