,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
71,LRPL Taylor,Mohammed Shami,KS Williamson,1,0,1,78,,2,4,3,-,5.0,11,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Right arm Fast
72,KS Williamson,Mohammed Shami,LRPL Taylor,1,0,1,79,,13,18,3,-,6.0,11,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Right arm Fast
73,KS Williamson,RA Jadeja,LRPL Taylor,1,0,1,80,,14,19,3,-,1.0,12,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Left arm Orthodox
74,LRPL Taylor,RA Jadeja,KS Williamson,1,0,1,81,,3,5,3,-,2.0,12,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Left arm Orthodox
75,KS Williamson,RA Jadeja,LRPL Taylor,0,0,0,81,,14,20,4,-,3.0,12,caught,KS Williamson,YS Chahal,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Left arm Orthodox
76,TL Seifert,RA Jadeja,LRPL Taylor,1,0,1,82,,1,1,4,-,4.0,12,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Left arm Orthodox
77,LRPL Taylor,RA Jadeja,TL Seifert,1,0,1,83,,4,6,4,-,5.0,12,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Left arm Orthodox
78,TL Seifert,RA Jadeja,LRPL Taylor,1,0,1,84,,2,2,4,-,6.0,12,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Left arm Orthodox
79,TL Seifert,YS Chahal,LRPL Taylor,2,0,2,86,,4,3,4,-,1.0,13,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Right arm Legbreak
80,TL Seifert,YS Chahal,LRPL Taylor,1,0,1,87,,5,4,4,-,2.0,13,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Right arm Legbreak
81,LRPL Taylor,YS Chahal,TL Seifert,1,0,1,88,,5,7,4,-,3.0,13,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Right arm Legbreak
82,TL Seifert,YS Chahal,LRPL Taylor,0,0,0,88,,5,5,4,-,4.0,13,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Right arm Legbreak
83,TL Seifert,YS Chahal,LRPL Taylor,1,0,1,89,,6,6,4,-,5.0,13,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Right arm Legbreak
84,LRPL Taylor,YS Chahal,TL Seifert,1,0,1,90,,6,8,4,-,6.0,13,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Right arm Legbreak
85,LRPL Taylor,RA Jadeja,TL Seifert,0,0,0,90,,6,9,4,-,1.0,14,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Left arm Orthodox
86,LRPL Taylor,RA Jadeja,TL Seifert,1,0,1,91,,7,10,4,-,2.0,14,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Left arm Orthodox
87,TL Seifert,RA Jadeja,LRPL Taylor,0,0,0,91,,6,7,4,-,3.0,14,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Left arm Orthodox
88,TL Seifert,RA Jadeja,LRPL Taylor,1,0,1,92,,7,8,4,-,4.0,14,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Left arm Orthodox
89,LRPL Taylor,RA Jadeja,TL Seifert,1,0,1,93,,8,11,4,-,5.0,14,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Left arm Orthodox
