,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
56,PWH de Silva,Noor Ahmad,S Samarawickrama,1,0,1,89,120,9,10,3,7,9,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
57,PWH de Silva,Mohammad Nabi,S Samarawickrama,4,0,4,93,116,13,11,3,1,10,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
58,PWH de Silva,Mohammad Nabi,S Samarawickrama,0,0,0,93,116,13,12,4,2,10,-,caught,PWH de Silva,Ibrahim Zadran,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
59,PHKD Mendis,Mohammad Nabi,S Samarawickrama,0,1,1,94,115,0,1,4,3,10,wides,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
60,PHKD Mendis,Mohammad Nabi,S Samarawickrama,2,0,2,96,113,2,2,4,4,10,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
61,PHKD Mendis,Mohammad Nabi,S Samarawickrama,1,0,1,97,112,3,3,4,5,10,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
62,S Samarawickrama,Mohammad Nabi,PHKD Mendis,1,0,1,98,111,2,2,4,6,10,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
63,PHKD Mendis,Mohammad Nabi,S Samarawickrama,1,0,1,99,110,4,4,4,7,10,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
64,PHKD Mendis,Noor Ahmad,S Samarawickrama,2,0,2,101,108,6,5,4,1,11,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
65,PHKD Mendis,Noor Ahmad,S Samarawickrama,0,0,0,101,108,6,6,4,2,11,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
66,PHKD Mendis,Noor Ahmad,S Samarawickrama,0,0,0,101,108,6,7,4,3,11,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
67,PHKD Mendis,Noor Ahmad,S Samarawickrama,0,0,0,101,108,6,8,4,4,11,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
68,PHKD Mendis,Noor Ahmad,S Samarawickrama,1,0,1,102,107,7,9,4,5,11,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
69,S Samarawickrama,Noor Ahmad,PHKD Mendis,2,0,2,104,105,4,3,4,6,11,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
70,PHKD Mendis,Mohammad Nabi,S Samarawickrama,1,0,1,105,104,8,10,4,1,12,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
71,S Samarawickrama,Mohammad Nabi,PHKD Mendis,6,0,6,111,98,10,4,4,2,12,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
72,S Samarawickrama,Mohammad Nabi,PHKD Mendis,1,0,1,112,97,11,5,4,3,12,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
73,PHKD Mendis,Mohammad Nabi,S Samarawickrama,2,0,2,114,95,10,11,4,4,12,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
74,PHKD Mendis,Mohammad Nabi,S Samarawickrama,4,0,4,118,91,14,12,4,5,12,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
75,PHKD Mendis,Mohammad Nabi,S Samarawickrama,1,0,1,119,90,15,13,4,6,12,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
76,PHKD Mendis,Qais Ahmad,S Samarawickrama,2,0,2,121,88,17,14,4,1,13,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
77,PHKD Mendis,Qais Ahmad,S Samarawickrama,0,0,0,121,88,17,15,4,2,13,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
78,PHKD Mendis,Qais Ahmad,S Samarawickrama,1,0,1,122,87,18,16,4,3,13,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
79,S Samarawickrama,Qais Ahmad,PHKD Mendis,4,0,4,126,83,15,6,4,4,13,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
80,S Samarawickrama,Qais Ahmad,PHKD Mendis,2,0,2,128,81,17,7,4,5,13,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
81,S Samarawickrama,Qais Ahmad,PHKD Mendis,4,0,4,132,77,21,8,4,6,13,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
82,PHKD Mendis,Azmatullah Omarzai,S Samarawickrama,4,0,4,136,73,22,17,4,1,14,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
83,PHKD Mendis,Azmatullah Omarzai,S Samarawickrama,1,0,1,137,72,23,18,4,2,14,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
84,S Samarawickrama,Azmatullah Omarzai,PHKD Mendis,1,0,1,138,71,22,9,4,3,14,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
85,PHKD Mendis,Azmatullah Omarzai,S Samarawickrama,0,1,1,139,70,23,19,4,4,14,wides,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
86,PHKD Mendis,Azmatullah Omarzai,S Samarawickrama,1,0,1,140,69,24,20,4,5,14,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
87,S Samarawickrama,Azmatullah Omarzai,PHKD Mendis,0,1,1,141,68,22,10,4,6,14,wides,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
88,S Samarawickrama,Azmatullah Omarzai,PHKD Mendis,1,0,1,142,67,23,11,4,7,14,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
89,PHKD Mendis,Azmatullah Omarzai,S Samarawickrama,1,0,1,143,66,25,21,4,8,14,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
90,PHKD Mendis,Qais Ahmad,S Samarawickrama,0,0,0,143,66,25,22,4,1,15,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
91,PHKD Mendis,Qais Ahmad,S Samarawickrama,2,0,2,145,64,27,23,4,2,15,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
