,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
61,Mohammad Hafeez,A Zampa,Babar Azam,1,0,1,68,,23,25,1,5,-,9,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
62,Babar Azam,A Zampa,Mohammad Hafeez,1,0,1,69,,29,26,1,6,-,9,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
63,Babar Azam,DJM Short,Mohammad Hafeez,1,0,1,70,,30,27,1,1,-,10,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
64,Mohammad Hafeez,DJM Short,Babar Azam,1,0,1,71,,24,26,1,2,-,10,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
65,Babar Azam,DJM Short,Mohammad Hafeez,2,0,2,73,,32,28,1,3,-,10,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
66,Babar Azam,DJM Short,Mohammad Hafeez,2,0,2,75,,34,29,1,4,-,10,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
67,Babar Azam,DJM Short,Mohammad Hafeez,1,0,1,76,,35,30,1,5,-,10,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
68,Mohammad Hafeez,DJM Short,Babar Azam,1,0,1,77,,25,27,1,6,-,10,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
69,Mohammad Hafeez,AJ Tye,Babar Azam,4,0,4,81,,29,28,1,1,-,11,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
70,Mohammad Hafeez,AJ Tye,Babar Azam,1,0,1,82,,30,29,1,2,-,11,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
71,Babar Azam,AJ Tye,Mohammad Hafeez,1,0,1,83,,36,31,1,3,-,11,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
72,Mohammad Hafeez,AJ Tye,Babar Azam,1,0,1,84,,31,30,1,4,-,11,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
73,Babar Azam,AJ Tye,Mohammad Hafeez,1,0,1,85,,37,32,1,5,-,11,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
74,Mohammad Hafeez,AJ Tye,Babar Azam,1,0,1,86,,32,31,1,6,-,11,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
75,Mohammad Hafeez,A Zampa,Babar Azam,1,0,1,87,,33,32,1,1,-,12,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
76,Babar Azam,A Zampa,Mohammad Hafeez,1,0,1,88,,38,33,1,2,-,12,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
77,Mohammad Hafeez,A Zampa,Babar Azam,1,0,1,89,,34,33,1,3,-,12,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
78,Babar Azam,A Zampa,Mohammad Hafeez,0,0,0,89,,38,34,1,4,-,12,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
79,Babar Azam,A Zampa,Mohammad Hafeez,0,0,0,89,,38,35,1,5,-,12,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
80,Babar Azam,A Zampa,Mohammad Hafeez,1,0,1,90,,39,36,1,6,-,12,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
81,Babar Azam,B Stanlake,Mohammad Hafeez,0,0,0,90,,39,37,1,1,-,13,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
82,Babar Azam,B Stanlake,Mohammad Hafeez,2,0,2,92,,41,38,1,2,-,13,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
83,Babar Azam,B Stanlake,Mohammad Hafeez,1,0,1,93,,42,39,1,3,-,13,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
84,Mohammad Hafeez,B Stanlake,Babar Azam,6,0,6,99,,40,34,1,4,-,13,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
85,Mohammad Hafeez,B Stanlake,Babar Azam,0,0,0,99,,40,35,1,5,-,13,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
86,Mohammad Hafeez,B Stanlake,Babar Azam,0,0,0,99,,40,36,2,6,-,13,,caught,Mohammad Hafeez,DJM Short,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
87,Babar Azam,A Zampa,Shoaib Malik,0,1,1,100,,42,40,2,1,legbyes,14,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
88,Shoaib Malik,A Zampa,Babar Azam,0,0,0,100,,0,1,2,2,-,14,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
89,Shoaib Malik,A Zampa,Babar Azam,1,0,1,101,,1,2,2,3,-,14,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
90,Babar Azam,A Zampa,Shoaib Malik,1,0,1,102,,43,41,2,4,-,14,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
91,Shoaib Malik,A Zampa,Babar Azam,1,0,1,103,,2,3,2,5,-,14,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
92,Babar Azam,A Zampa,Shoaib Malik,1,0,1,104,,44,42,2,6,-,14,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
93,Babar Azam,DJM Short,Shoaib Malik,1,0,1,105,,45,43,2,1,-,15,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
94,Shoaib Malik,DJM Short,Babar Azam,1,0,1,106,,3,4,2,2,-,15,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
95,Babar Azam,DJM Short,Shoaib Malik,0,0,0,106,,45,44,2,3,-,15,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
96,Babar Azam,DJM Short,Shoaib Malik,0,0,0,106,,45,45,3,4,-,15,,caught,Babar Azam,AJ Finch,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
