,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
79,DJ Hussey,CH Gayle,DA Warner,1,0,1,86,3,3,3,-,0,,,13,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
80,DA Warner,CH Gayle,DJ Hussey,0,0,0,86,51,44,4,-,0,,,13,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
81,DA Warner,CH Gayle,DJ Hussey,2,0,2,88,53,45,5,-,0,,,13,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
82,DA Warner,CH Gayle,DJ Hussey,0,0,0,88,53,46,6,-,0,,,13,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
83,DJ Hussey,KA Pollard,DA Warner,1,0,1,89,4,4,1,-,0,,,14,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
84,DA Warner,KA Pollard,DJ Hussey,4,0,4,93,57,47,2,-,0,,,14,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
85,DA Warner,KA Pollard,DJ Hussey,1,0,1,94,58,48,3,-,0,,,14,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
86,DJ Hussey,KA Pollard,DA Warner,6,0,6,100,10,5,4,-,0,,,14,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
87,DJ Hussey,KA Pollard,DA Warner,0,0,0,100,10,6,5,-,0,,,14,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
88,DJ Hussey,KA Pollard,DA Warner,0,0,0,100,10,7,6,-,0,,,14,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
89,DA Warner,SJ Benn,DJ Hussey,3,0,3,103,61,49,1,-,0,,,15,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
90,DJ Hussey,SJ Benn,DA Warner,0,0,0,103,10,8,2,-,0,,,15,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
91,DJ Hussey,SJ Benn,DA Warner,6,0,6,109,16,9,3,-,0,,,15,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
92,DJ Hussey,SJ Benn,DA Warner,1,0,1,110,17,10,4,-,0,,,15,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
93,DA Warner,SJ Benn,DJ Hussey,0,0,0,110,61,50,5,-,0,,,15,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
94,DA Warner,SJ Benn,DJ Hussey,1,0,1,111,62,51,6,-,0,,,15,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
95,DA Warner,DJ Bravo,DJ Hussey,1,0,1,112,63,52,1,-,0,,,16,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
96,DJ Hussey,DJ Bravo,DA Warner,1,0,1,113,18,11,2,-,0,,,16,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
97,DA Warner,DJ Bravo,DJ Hussey,0,0,0,113,63,53,3,-,caught,DA Warner,SJ Benn,16,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
98,MEK Hussey,DJ Bravo,DJ Hussey,0,1,1,114,0,1,4,wides,0,,,16,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
99,MEK Hussey,DJ Bravo,DJ Hussey,0,1,1,115,0,2,5,wides,0,,,16,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
100,MEK Hussey,DJ Bravo,DJ Hussey,4,0,4,119,4,3,6,-,0,,,16,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
101,MEK Hussey,DJ Bravo,DJ Hussey,0,0,0,119,4,4,7,-,0,,,16,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
102,MEK Hussey,DJ Bravo,DJ Hussey,0,1,1,120,4,5,8,legbyes,0,,,16,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
103,MEK Hussey,JE Taylor,DJ Hussey,1,0,1,121,5,6,1,-,0,,,17,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
104,DJ Hussey,JE Taylor,MEK Hussey,0,0,0,121,18,12,2,-,0,,,17,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
105,DJ Hussey,JE Taylor,MEK Hussey,6,0,6,127,24,13,3,-,0,,,17,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
106,DJ Hussey,JE Taylor,MEK Hussey,1,0,1,128,25,14,4,-,0,,,17,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
107,MEK Hussey,JE Taylor,DJ Hussey,2,0,2,130,7,7,5,-,0,,,17,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
108,MEK Hussey,JE Taylor,DJ Hussey,0,1,1,131,7,8,6,wides,0,,,17,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
