,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
109,Shahid Afridi,R McLaren,Saeed Ajmal,2,0,2,128,22,5,5,8,2,17,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
110,Shahid Afridi,R McLaren,Saeed Ajmal,1,0,1,129,21,6,6,8,3,17,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
111,Saeed Ajmal,R McLaren,Shahid Afridi,1,0,1,130,20,3,5,8,4,17,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
112,Shahid Afridi,R McLaren,Saeed Ajmal,6,0,6,136,14,12,7,8,5,17,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
113,Shahid Afridi,R McLaren,Saeed Ajmal,1,0,1,137,13,13,8,8,6,17,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
114,Shahid Afridi,DW Steyn,Saeed Ajmal,1,0,1,138,12,14,9,8,1,18,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
115,Saeed Ajmal,DW Steyn,Shahid Afridi,0,0,0,138,12,3,6,8,2,18,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
116,Saeed Ajmal,DW Steyn,Shahid Afridi,1,0,1,139,11,4,7,8,3,18,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
117,Shahid Afridi,DW Steyn,Saeed Ajmal,0,0,0,139,11,14,10,9,4,18,-,caught,Shahid Afridi,F du Plessis,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
118,Mohammad Irfan,DW Steyn,Saeed Ajmal,1,0,1,140,10,1,1,9,5,18,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
119,Saeed Ajmal,DW Steyn,Mohammad Irfan,1,0,1,141,9,5,8,9,6,18,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
120,Saeed Ajmal,WD Parnell,Mohammad Irfan,1,0,1,142,8,6,9,9,1,19,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
121,Mohammad Irfan,WD Parnell,Saeed Ajmal,0,0,0,142,8,1,2,9,2,19,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
122,Mohammad Irfan,WD Parnell,Saeed Ajmal,1,0,1,143,7,2,3,9,3,19,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
123,Saeed Ajmal,WD Parnell,Mohammad Irfan,0,0,0,143,7,6,10,9,4,19,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
124,Saeed Ajmal,WD Parnell,Mohammad Irfan,1,0,1,144,6,7,11,9,5,19,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
125,Mohammad Irfan,WD Parnell,Saeed Ajmal,0,0,0,144,6,2,4,9,6,19,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
