,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
56,TK Curran,TA Boult,SW Billings,,6,0,6,118,8,4,4,0,,,9,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
57,TK Curran,TA Boult,SW Billings,,0,1,1,119,8,5,5,0,,,9,wides,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
58,TK Curran,TA Boult,SW Billings,,0,0,0,119,8,6,6,0,,,9,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
59,TK Curran,TA Boult,SW Billings,,2,0,2,121,10,7,7,0,,,9,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
60,SW Billings,TG Southee,TK Curran,,4,0,4,125,6,5,1,0,,,10,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
61,SW Billings,TG Southee,TK Curran,,0,1,1,126,6,6,2,0,,,10,wides,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
62,SW Billings,TG Southee,TK Curran,,1,0,1,127,7,7,3,0,,,10,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
63,TK Curran,TG Southee,SW Billings,,1,0,1,128,11,8,4,0,,,10,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
64,SW Billings,TG Southee,TK Curran,,1,0,1,129,8,8,5,0,,,10,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
65,TK Curran,TG Southee,SW Billings,,1,0,1,130,12,9,6,0,,,10,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
66,SW Billings,TG Southee,TK Curran,,0,1,1,131,8,9,7,0,,,10,legbyes,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
67,SW Billings,JDS Neesham,TK Curran,,2,0,2,133,10,10,1,0,,,11,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
68,SW Billings,JDS Neesham,TK Curran,,1,0,1,134,11,11,2,0,,,11,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
69,TK Curran,JDS Neesham,SW Billings,,0,0,0,134,12,10,3,caught,TK Curran,C de Grandhomme,11,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
70,CJ Jordan,JDS Neesham,SW Billings,,6,0,6,140,6,1,4,0,,,11,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
71,CJ Jordan,JDS Neesham,SW Billings,,2,0,2,142,8,2,5,0,,,11,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
72,CJ Jordan,JDS Neesham,SW Billings,,4,0,4,146,12,3,6,0,,,11,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
