,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extras,extra_type,replacements,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
49,Mohammad Rizwan,Aminul Islam,Haider Ali,1,0,1,36,14,23,1,9,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
50,Haider Ali,Aminul Islam,Mohammad Rizwan,2,0,2,38,3,2,2,9,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
51,Haider Ali,Aminul Islam,Mohammad Rizwan,0,0,0,38,3,3,3,9,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
52,Haider Ali,Aminul Islam,Mohammad Rizwan,0,0,0,38,3,4,4,9,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
53,Haider Ali,Aminul Islam,Mohammad Rizwan,0,0,0,38,3,5,5,9,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
54,Haider Ali,Aminul Islam,Mohammad Rizwan,0,0,0,38,3,6,6,9,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
55,Mohammad Rizwan,Nasum Ahmed,Haider Ali,0,1,1,39,14,24,1,10,{'legbyes': 1},legbyes,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
56,Haider Ali,Nasum Ahmed,Mohammad Rizwan,0,0,0,39,3,7,2,10,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
57,Haider Ali,Nasum Ahmed,Mohammad Rizwan,1,0,1,40,4,8,3,10,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
58,Mohammad Rizwan,Nasum Ahmed,Haider Ali,1,0,1,41,15,25,4,10,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
59,Haider Ali,Nasum Ahmed,Mohammad Rizwan,1,0,1,42,5,9,5,10,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
60,Mohammad Rizwan,Nasum Ahmed,Haider Ali,4,0,4,46,19,26,6,10,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
61,Haider Ali,Taskin Ahmed,Mohammad Rizwan,1,0,1,47,6,10,1,11,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
62,Mohammad Rizwan,Taskin Ahmed,Haider Ali,0,0,0,47,19,27,2,11,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
63,Mohammad Rizwan,Taskin Ahmed,Haider Ali,1,0,1,48,20,28,3,11,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
64,Haider Ali,Taskin Ahmed,Mohammad Rizwan,1,0,1,49,7,11,4,11,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
65,Mohammad Rizwan,Taskin Ahmed,Haider Ali,4,0,4,53,24,29,5,11,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
66,Mohammad Rizwan,Taskin Ahmed,Haider Ali,2,0,2,55,26,30,6,11,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
67,Haider Ali,Aminul Islam,Mohammad Rizwan,1,0,1,56,8,12,1,12,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
68,Mohammad Rizwan,Aminul Islam,Haider Ali,2,0,2,58,28,31,2,12,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
69,Mohammad Rizwan,Aminul Islam,Haider Ali,1,0,1,59,29,32,3,12,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
70,Haider Ali,Aminul Islam,Mohammad Rizwan,1,0,1,60,9,13,4,12,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
71,Mohammad Rizwan,Aminul Islam,Haider Ali,0,0,0,60,29,33,5,12,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
72,Mohammad Rizwan,Aminul Islam,Haider Ali,0,0,0,60,29,34,6,12,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
73,Haider Ali,Mahedi Hasan,Mohammad Rizwan,0,0,0,60,9,14,1,13,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
74,Haider Ali,Mahedi Hasan,Mohammad Rizwan,0,0,0,60,9,15,2,13,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
75,Haider Ali,Mahedi Hasan,Mohammad Rizwan,4,0,4,64,13,16,3,13,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
76,Haider Ali,Mahedi Hasan,Mohammad Rizwan,1,0,1,65,14,17,4,13,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
77,Mohammad Rizwan,Mahedi Hasan,Haider Ali,1,0,1,66,30,35,5,13,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
78,Haider Ali,Mahedi Hasan,Mohammad Rizwan,0,0,0,66,14,18,6,13,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
79,Mohammad Rizwan,Aminul Islam,Haider Ali,6,0,6,72,36,36,1,14,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
80,Mohammad Rizwan,Aminul Islam,Haider Ali,1,0,1,73,37,37,2,14,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
81,Haider Ali,Aminul Islam,Mohammad Rizwan,4,0,4,77,18,19,3,14,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
82,Haider Ali,Aminul Islam,Mohammad Rizwan,1,0,1,78,19,20,4,14,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
83,Mohammad Rizwan,Aminul Islam,Haider Ali,0,1,1,79,37,38,5,14,{'wides': 1},wides,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
84,Mohammad Rizwan,Aminul Islam,Haider Ali,0,0,0,79,37,39,6,14,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
85,Mohammad Rizwan,Aminul Islam,Haider Ali,1,0,1,80,38,40,7,14,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
86,Mohammad Rizwan,Mahedi Hasan,Haider Ali,0,0,0,80,38,41,1,15,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
87,Mohammad Rizwan,Mahedi Hasan,Haider Ali,1,0,1,81,39,42,2,15,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
88,Haider Ali,Mahedi Hasan,Mohammad Rizwan,0,0,0,81,19,21,3,15,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
89,Haider Ali,Mahedi Hasan,Mohammad Rizwan,0,0,0,81,19,22,4,15,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
90,Haider Ali,Mahedi Hasan,Mohammad Rizwan,1,0,1,82,20,23,5,15,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
91,Mohammad Rizwan,Mahedi Hasan,Haider Ali,1,0,1,83,40,43,6,15,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
92,Mohammad Rizwan,Shohidul Islam,Haider Ali,0,0,0,83,40,44,1,16,,-,,bowled,Mohammad Rizwan,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
93,Sarfraz Ahmed,Shohidul Islam,Haider Ali,0,1,1,84,0,1,2,16,{'legbyes': 1},legbyes,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
94,Haider Ali,Shohidul Islam,Sarfraz Ahmed,6,0,6,90,26,24,3,16,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
95,Haider Ali,Shohidul Islam,Sarfraz Ahmed,0,1,1,91,26,25,4,16,{'wides': 1},wides,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
96,Haider Ali,Shohidul Islam,Sarfraz Ahmed,0,0,0,91,26,26,5,16,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
97,Haider Ali,Shohidul Islam,Sarfraz Ahmed,6,0,6,97,32,27,6,16,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
98,Haider Ali,Shohidul Islam,Sarfraz Ahmed,2,0,2,99,34,28,7,16,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
99,Sarfraz Ahmed,Mahedi Hasan,Haider Ali,1,0,1,100,1,2,1,17,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
100,Haider Ali,Mahedi Hasan,Sarfraz Ahmed,1,0,1,101,35,29,2,17,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
101,Sarfraz Ahmed,Mahedi Hasan,Haider Ali,1,0,1,102,2,3,3,17,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
102,Haider Ali,Mahedi Hasan,Sarfraz Ahmed,0,0,0,102,35,30,4,17,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
103,Haider Ali,Mahedi Hasan,Sarfraz Ahmed,4,0,4,106,39,31,5,17,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
104,Haider Ali,Mahedi Hasan,Sarfraz Ahmed,0,0,0,106,39,32,6,17,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
105,Sarfraz Ahmed,Taskin Ahmed,Haider Ali,1,0,1,107,3,4,1,18,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
106,Haider Ali,Taskin Ahmed,Sarfraz Ahmed,1,0,1,108,40,33,2,18,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
107,Sarfraz Ahmed,Taskin Ahmed,Haider Ali,0,0,0,108,3,5,3,18,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
108,Sarfraz Ahmed,Taskin Ahmed,Haider Ali,0,0,0,108,3,6,4,18,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
109,Sarfraz Ahmed,Taskin Ahmed,Haider Ali,1,0,1,109,4,7,5,18,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
110,Haider Ali,Taskin Ahmed,Sarfraz Ahmed,1,0,1,110,41,34,6,18,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
111,Haider Ali,Shohidul Islam,Sarfraz Ahmed,0,0,0,110,41,35,1,19,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
112,Haider Ali,Shohidul Islam,Sarfraz Ahmed,1,0,1,111,42,36,2,19,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
113,Sarfraz Ahmed,Shohidul Islam,Haider Ali,1,1,2,113,5,8,3,19,{'noballs': 1},noballs,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
114,Haider Ali,Shohidul Islam,Sarfraz Ahmed,1,0,1,114,43,37,4,19,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
115,Sarfraz Ahmed,Shohidul Islam,Haider Ali,0,0,0,114,5,9,5,19,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
116,Sarfraz Ahmed,Shohidul Islam,Haider Ali,1,0,1,115,6,10,6,19,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
117,Haider Ali,Shohidul Islam,Sarfraz Ahmed,2,0,2,117,45,38,7,19,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
118,Sarfraz Ahmed,Mahmudullah,Haider Ali,0,0,0,117,6,11,1,20,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
119,Sarfraz Ahmed,Mahmudullah,Haider Ali,0,0,0,117,6,12,2,20,,-,,caught,Sarfraz Ahmed,Mohammad Naim,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
120,Haider Ali,Mahmudullah,Iftikhar Ahmed,0,0,0,117,45,39,3,20,,-,,caught,Haider Ali,Nazmul Hossain Shanto,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
121,Iftikhar Ahmed,Mahmudullah,Khushdil Shah,6,0,6,123,6,1,4,20,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
122,Iftikhar Ahmed,Mahmudullah,Khushdil Shah,0,0,0,123,6,2,5,20,,-,,caught,Iftikhar Ahmed,Yasir Ali Chowdhury,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
123,Mohammad Nawaz,Mahmudullah,Khushdil Shah,4,0,4,127,4,1,6,20,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
