,batter,bowler,non_striker,replacements,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
98,SB Styris,JA Morkel,JDP Oram,,1,0,1,110,23,24,27,4,-,6.0,15,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Left hand Bat,Right arm Medium
99,SB Styris,CK Langeveldt,JDP Oram,,0,0,0,110,23,24,28,4,-,1.0,16,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Left hand Bat,Right arm Fast
100,SB Styris,CK Langeveldt,JDP Oram,,0,0,0,110,23,24,29,5,-,2.0,16,bowled,SB Styris,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Left hand Bat,Right arm Fast
101,BB McCullum,CK Langeveldt,JDP Oram,,1,0,1,111,22,1,1,5,-,3.0,16,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Left hand Bat,Right arm Fast
102,JDP Oram,CK Langeveldt,BB McCullum,,0,1,1,112,21,22,14,5,legbyes,4.0,16,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Left hand Bat,Right hand Bat,Right arm Fast
103,BB McCullum,CK Langeveldt,JDP Oram,,0,0,0,112,21,1,2,5,-,5.0,16,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Left hand Bat,Right arm Fast
104,BB McCullum,CK Langeveldt,JDP Oram,,1,0,1,113,20,2,3,5,-,6.0,16,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Left hand Bat,Right arm Fast
105,BB McCullum,GC Smith,JDP Oram,,4,0,4,117,16,6,4,5,-,1.0,17,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Left hand Bat,Right arm Offbreak
106,BB McCullum,GC Smith,JDP Oram,,1,2,3,120,13,7,5,5,noballs,1.0,17,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Left hand Bat,Right arm Offbreak
107,JDP Oram,GC Smith,BB McCullum,,0,1,1,121,12,22,15,5,byes,2.0,17,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Left hand Bat,Right hand Bat,Right arm Offbreak
108,BB McCullum,GC Smith,JDP Oram,,1,0,1,122,11,8,6,5,-,3.0,17,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Left hand Bat,Right arm Offbreak
109,JDP Oram,GC Smith,BB McCullum,,1,0,1,123,10,23,16,5,-,4.0,17,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Left hand Bat,Right hand Bat,Right arm Offbreak
110,BB McCullum,GC Smith,JDP Oram,,2,0,2,125,8,10,7,5,-,5.0,17,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Left hand Bat,Right arm Offbreak
111,BB McCullum,GC Smith,JDP Oram,,6,2,8,133,0,16,8,5,noballs,5.0,17,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Left hand Bat,Right arm Offbreak
112,BB McCullum,GC Smith,JDP Oram,,1,0,1,134,-1,17,9,5,-,6.0,17,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Left hand Bat,Right arm Offbreak
