,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
93,CRD Fernando,AR Adams,SL Malinga,0,0,0,72,,0,4,8,5,-,0,,,14,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
94,CRD Fernando,AR Adams,SL Malinga,4,0,4,76,,4,5,8,6,-,0,,,14,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
95,CRD Fernando,AR Adams,SL Malinga,4,0,4,80,,8,6,8,7,-,0,,,14,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
96,SL Malinga,NJ Astle,CRD Fernando,6,0,6,86,,11,9,8,1,-,0,,,15,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
97,SL Malinga,NJ Astle,CRD Fernando,1,0,1,87,,12,10,8,2,-,0,,,15,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
98,CRD Fernando,NJ Astle,SL Malinga,1,0,1,88,,9,7,8,3,-,0,,,15,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
99,SL Malinga,NJ Astle,CRD Fernando,4,0,4,92,,16,11,8,4,-,0,,,15,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
100,SL Malinga,NJ Astle,CRD Fernando,2,0,2,94,,18,12,8,5,-,0,,,15,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
101,SL Malinga,NJ Astle,CRD Fernando,6,0,6,100,,24,13,8,6,-,0,,,15,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
102,CRD Fernando,JS Patel,SL Malinga,1,0,1,101,,10,8,8,1,-,0,,,16,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
103,SL Malinga,JS Patel,CRD Fernando,0,0,0,101,,24,14,8,2,-,0,,,16,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
104,SL Malinga,JS Patel,CRD Fernando,1,0,1,102,,25,15,8,3,-,0,,,16,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
105,CRD Fernando,JS Patel,SL Malinga,0,0,0,102,,10,9,8,4,-,0,,,16,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
106,CRD Fernando,JS Patel,SL Malinga,2,0,2,104,,12,10,8,5,-,0,,,16,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
107,CRD Fernando,JS Patel,SL Malinga,4,0,4,108,,16,11,8,6,-,0,,,16,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
108,SL Malinga,NJ Astle,CRD Fernando,1,0,1,109,,26,16,8,1,-,0,,,17,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
109,CRD Fernando,NJ Astle,SL Malinga,1,0,1,110,,17,12,8,2,-,0,,,17,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
110,SL Malinga,NJ Astle,CRD Fernando,1,0,1,111,,27,17,8,3,-,0,,,17,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
111,CRD Fernando,NJ Astle,SL Malinga,4,0,4,115,,21,13,8,4,-,0,,,17,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
