,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extra_type,replacements,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
69,AJ Finch,PVD Chameera,JP Inglis,1,0,1,80,24,28,3,0,,,12,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
70,JP Inglis,PVD Chameera,AJ Finch,0,0,0,80,1,3,4,0,,,12,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
71,JP Inglis,PVD Chameera,AJ Finch,0,0,0,80,1,4,5,0,,,12,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
72,JP Inglis,PVD Chameera,AJ Finch,4,0,4,84,5,5,6,0,,,12,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
73,AJ Finch,JDF Vandersay,JP Inglis,0,0,0,84,24,29,1,0,,,13,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
74,AJ Finch,JDF Vandersay,JP Inglis,1,0,1,85,25,30,2,0,,,13,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
75,JP Inglis,JDF Vandersay,AJ Finch,2,0,2,87,7,6,3,0,,,13,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
76,JP Inglis,JDF Vandersay,AJ Finch,2,0,2,89,9,7,4,0,,,13,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
77,JP Inglis,JDF Vandersay,AJ Finch,1,0,1,90,10,8,5,0,,,13,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
78,AJ Finch,JDF Vandersay,JP Inglis,4,0,4,94,29,31,6,0,,,13,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
79,JP Inglis,C Karunaratne,AJ Finch,1,0,1,95,11,9,1,0,,,14,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
80,AJ Finch,C Karunaratne,JP Inglis,2,0,2,97,31,32,2,0,,,14,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
81,AJ Finch,C Karunaratne,JP Inglis,2,0,2,99,33,33,3,0,,,14,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
82,AJ Finch,C Karunaratne,JP Inglis,1,0,1,100,34,34,4,0,,,14,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
83,JP Inglis,C Karunaratne,AJ Finch,1,0,1,101,12,10,5,0,,,14,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
84,AJ Finch,C Karunaratne,JP Inglis,1,0,1,102,35,35,6,0,,,14,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
85,AJ Finch,JDF Vandersay,JP Inglis,0,0,0,102,35,36,1,caught,AJ Finch,KIC Asalanka,15,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
86,MP Stoinis,JDF Vandersay,JP Inglis,1,0,1,103,1,1,2,0,,,15,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
87,JP Inglis,JDF Vandersay,MP Stoinis,4,0,4,107,16,11,3,0,,,15,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
88,JP Inglis,JDF Vandersay,MP Stoinis,1,0,1,108,17,12,4,0,,,15,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
89,MP Stoinis,JDF Vandersay,JP Inglis,1,0,1,109,2,2,5,0,,,15,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
90,JP Inglis,JDF Vandersay,MP Stoinis,1,0,1,110,18,13,6,0,,,15,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
91,JP Inglis,PVD Chameera,MP Stoinis,0,0,0,110,18,14,1,0,,,16,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
92,JP Inglis,PVD Chameera,MP Stoinis,0,0,0,110,18,15,2,0,,,16,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
93,JP Inglis,PVD Chameera,MP Stoinis,1,0,1,111,19,16,3,0,,,16,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
94,MP Stoinis,PVD Chameera,JP Inglis,0,0,0,111,2,3,4,0,,,16,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
95,MP Stoinis,PVD Chameera,JP Inglis,0,1,1,112,2,4,5,0,,,16,legbyes,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
96,JP Inglis,PVD Chameera,MP Stoinis,1,0,1,113,20,17,6,0,,,16,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
97,JP Inglis,MD Shanaka,MP Stoinis,1,0,1,114,21,18,1,0,,,17,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
98,MP Stoinis,MD Shanaka,JP Inglis,2,0,2,116,4,5,2,0,,,17,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
99,MP Stoinis,MD Shanaka,JP Inglis,4,0,4,120,8,6,3,0,,,17,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
100,MP Stoinis,MD Shanaka,JP Inglis,0,0,0,120,8,7,4,0,,,17,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
101,MP Stoinis,MD Shanaka,JP Inglis,4,0,4,124,12,8,5,0,,,17,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
