,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
101,HC Brook,TG Southee,JM Bairstow,,6,0,6,169,62,34,4,17,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
102,HC Brook,TG Southee,JM Bairstow,,1,0,1,170,63,35,5,17,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
103,JM Bairstow,TG Southee,HC Brook,,0,0,0,170,84,54,6,17,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
104,HC Brook,IS Sodhi,JM Bairstow,,4,0,4,174,67,36,1,18,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
105,HC Brook,IS Sodhi,JM Bairstow,,0,0,0,174,67,37,2,18,caught,HC Brook,FH Allen,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
106,MM Ali,IS Sodhi,JM Bairstow,,6,0,6,180,6,1,3,18,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
107,MM Ali,IS Sodhi,JM Bairstow,,0,0,0,180,6,2,4,18,caught,MM Ali,AF Milne,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
108,JC Buttler,IS Sodhi,JM Bairstow,,1,0,1,181,1,1,5,18,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
109,JM Bairstow,IS Sodhi,JC Buttler,,0,0,0,181,84,55,6,18,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
110,JC Buttler,AF Milne,JM Bairstow,,1,0,1,182,2,2,1,19,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
111,JM Bairstow,AF Milne,JC Buttler,,0,0,0,182,84,56,2,19,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
112,JM Bairstow,AF Milne,JC Buttler,,0,0,0,182,84,57,3,19,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
113,JM Bairstow,AF Milne,JC Buttler,,1,0,1,183,85,58,4,19,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
114,JC Buttler,AF Milne,JM Bairstow,,1,0,1,184,3,3,5,19,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
115,JM Bairstow,AF Milne,JC Buttler,,1,0,1,185,86,59,6,19,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
116,JM Bairstow,LH Ferguson,JC Buttler,,0,1,1,186,86,60,1,20,0,,,legbyes,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
117,JC Buttler,LH Ferguson,JM Bairstow,,2,0,2,188,5,4,2,20,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
118,JC Buttler,LH Ferguson,JM Bairstow,,2,0,2,190,7,5,3,20,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
119,JC Buttler,LH Ferguson,JM Bairstow,,0,0,0,190,7,6,4,20,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
120,JC Buttler,LH Ferguson,JM Bairstow,,6,0,6,196,13,7,5,20,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
121,JC Buttler,LH Ferguson,JM Bairstow,,0,1,1,197,13,8,6,20,0,,,wides,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
122,JC Buttler,LH Ferguson,JM Bairstow,,0,1,1,198,13,9,7,20,0,,,byes,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
