,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
46,Nurul Hasan,LM Jongwe,Mahmudullah,4,0,4,62,118,4,2,5,-,4.0,7,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Right hand Bat,Right arm Fast
47,Nurul Hasan,LM Jongwe,Mahmudullah,1,0,1,63,117,5,3,5,-,5.0,7,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Right hand Bat,Right arm Fast
48,Mahmudullah,LM Jongwe,Nurul Hasan,1,0,1,64,116,23,15,5,-,6.0,7,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Right hand Bat,Right arm Fast
49,Mahmudullah,AG Cremer,Nurul Hasan,0,1,1,65,115,23,15,5,wides,0.0,8,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Right hand Bat,Right arm Legbreak
50,Mahmudullah,AG Cremer,Nurul Hasan,0,0,0,65,115,23,16,5,-,1.0,8,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Right hand Bat,Right arm Legbreak
51,Mahmudullah,AG Cremer,Nurul Hasan,1,0,1,66,114,24,17,5,-,2.0,8,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Right hand Bat,Right arm Legbreak
52,Nurul Hasan,AG Cremer,Mahmudullah,1,0,1,67,113,6,4,5,-,3.0,8,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Right hand Bat,Right arm Legbreak
53,Mahmudullah,AG Cremer,Nurul Hasan,0,0,0,67,113,24,18,5,-,4.0,8,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Right hand Bat,Right arm Legbreak
54,Mahmudullah,AG Cremer,Nurul Hasan,0,0,0,67,113,24,19,5,-,5.0,8,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Right hand Bat,Right arm Legbreak
55,Mahmudullah,AG Cremer,Nurul Hasan,1,0,1,68,112,25,20,5,-,6.0,8,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Right hand Bat,Right arm Legbreak
56,Mahmudullah,E Chigumbura,Nurul Hasan,4,0,4,72,108,29,21,5,-,1.0,9,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Right hand Bat,Right arm Fast
57,Mahmudullah,E Chigumbura,Nurul Hasan,1,0,1,73,107,30,22,5,-,2.0,9,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Right hand Bat,Right arm Fast
58,Nurul Hasan,E Chigumbura,Mahmudullah,1,0,1,74,106,7,5,5,-,3.0,9,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Right hand Bat,Right arm Fast
59,Mahmudullah,E Chigumbura,Nurul Hasan,2,0,2,76,104,32,23,5,-,4.0,9,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Right hand Bat,Right arm Fast
60,Mahmudullah,E Chigumbura,Nurul Hasan,6,0,6,82,98,38,24,5,-,5.0,9,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Right hand Bat,Right arm Fast
