,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
52,Q de Kock,AU Rashid,F du Plessis,0,0,0,76,65,29,22,1,5,0,,,9,"{'by': 'England', 'umpire': 'A Paleker', 'batter': 'Q de Kock', 'decision': 'struck down'}",-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
53,Q de Kock,AU Rashid,F du Plessis,1,0,1,77,64,30,23,1,6,0,,,9,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
54,F du Plessis,AU Rashid,Q de Kock,1,0,1,78,63,41,27,1,7,0,,,9,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
55,F du Plessis,CJ Jordan,Q de Kock,4,0,4,82,59,45,28,1,1,0,,,10,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
56,F du Plessis,CJ Jordan,Q de Kock,1,0,1,83,58,46,29,1,2,0,,,10,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
57,Q de Kock,CJ Jordan,F du Plessis,0,0,0,83,58,30,24,2,3,caught,Q de Kock,EJG Morgan,10,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
58,HE van der Dussen,CJ Jordan,F du Plessis,1,0,1,84,57,1,1,2,4,0,,,10,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
59,F du Plessis,CJ Jordan,HE van der Dussen,0,1,1,85,56,46,30,2,5,0,,,10,,legbyes,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
60,HE van der Dussen,CJ Jordan,F du Plessis,1,0,1,86,55,2,2,2,6,0,,,10,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
61,HE van der Dussen,AU Rashid,F du Plessis,0,0,0,86,55,2,3,2,1,0,,,11,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
62,HE van der Dussen,AU Rashid,F du Plessis,0,0,0,86,55,2,4,2,2,0,,,11,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
63,HE van der Dussen,AU Rashid,F du Plessis,1,0,1,87,54,3,5,2,3,0,,,11,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
64,F du Plessis,AU Rashid,HE van der Dussen,1,0,1,88,53,47,31,2,4,0,,,11,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
65,HE van der Dussen,AU Rashid,F du Plessis,1,0,1,89,52,4,6,2,5,0,,,11,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
66,F du Plessis,AU Rashid,HE van der Dussen,1,0,1,90,51,48,32,2,6,0,,,11,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
67,F du Plessis,JC Archer,HE van der Dussen,1,0,1,91,50,49,33,2,1,0,,,12,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
68,HE van der Dussen,JC Archer,F du Plessis,1,0,1,92,49,5,7,2,2,0,,,12,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
69,F du Plessis,JC Archer,HE van der Dussen,3,0,3,95,46,52,34,2,3,0,,,12,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
70,HE van der Dussen,JC Archer,F du Plessis,0,0,0,95,46,5,8,2,4,0,,,12,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
71,HE van der Dussen,JC Archer,F du Plessis,0,0,0,95,46,5,9,2,5,0,,,12,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
72,HE van der Dussen,JC Archer,F du Plessis,1,0,1,96,45,6,10,2,6,0,,,12,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
73,HE van der Dussen,AU Rashid,F du Plessis,0,0,0,96,45,6,11,2,1,0,,,13,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
74,HE van der Dussen,AU Rashid,F du Plessis,6,0,6,102,39,12,12,2,2,0,,,13,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
75,HE van der Dussen,AU Rashid,F du Plessis,1,0,1,103,38,13,13,2,3,0,,,13,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
76,F du Plessis,AU Rashid,HE van der Dussen,2,0,2,105,36,54,35,2,4,0,,,13,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
77,F du Plessis,AU Rashid,HE van der Dussen,0,0,0,105,36,54,36,2,5,0,,,13,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
78,F du Plessis,AU Rashid,HE van der Dussen,1,0,1,106,35,55,37,2,6,0,,,13,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
79,F du Plessis,SM Curran,HE van der Dussen,2,0,2,108,33,57,38,2,1,0,,,14,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
80,F du Plessis,SM Curran,HE van der Dussen,1,0,1,109,32,58,39,2,2,0,,,14,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
81,HE van der Dussen,SM Curran,F du Plessis,1,0,1,110,31,14,14,2,3,0,,,14,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
82,F du Plessis,SM Curran,HE van der Dussen,0,0,0,110,31,58,40,3,4,caught,F du Plessis,CJ Jordan,14,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
83,HE van der Dussen,SM Curran,H Klaasen,0,1,1,111,30,14,15,3,5,0,,,14,,wides,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
84,HE van der Dussen,SM Curran,H Klaasen,2,0,2,113,28,16,16,3,6,0,,,14,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
85,HE van der Dussen,SM Curran,H Klaasen,0,0,0,113,28,16,17,3,7,0,,,14,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
86,H Klaasen,CJ Jordan,HE van der Dussen,2,0,2,115,26,2,1,3,1,0,,,15,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
87,H Klaasen,CJ Jordan,HE van der Dussen,1,0,1,116,25,3,2,3,2,0,,,15,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
88,HE van der Dussen,CJ Jordan,H Klaasen,0,1,1,117,24,16,18,3,3,0,,,15,,wides,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
89,HE van der Dussen,CJ Jordan,H Klaasen,0,1,1,118,23,16,19,3,4,0,,,15,,wides,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
90,HE van der Dussen,CJ Jordan,H Klaasen,1,0,1,119,22,17,20,3,5,0,,,15,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
91,H Klaasen,CJ Jordan,HE van der Dussen,4,0,4,123,18,7,3,3,6,0,,,15,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
92,H Klaasen,CJ Jordan,HE van der Dussen,3,0,3,126,15,10,4,3,7,0,,,15,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
93,HE van der Dussen,CJ Jordan,H Klaasen,1,0,1,127,14,18,21,3,8,0,,,15,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
94,HE van der Dussen,TK Curran,H Klaasen,1,0,1,128,13,19,22,3,1,0,,,16,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
95,H Klaasen,TK Curran,HE van der Dussen,0,0,0,128,13,10,5,3,2,0,,,16,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
96,H Klaasen,TK Curran,HE van der Dussen,2,0,2,130,11,12,6,3,3,0,,,16,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
97,H Klaasen,TK Curran,HE van der Dussen,1,0,1,131,10,13,7,3,4,0,,,16,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
98,HE van der Dussen,TK Curran,H Klaasen,2,0,2,133,8,21,23,3,5,0,,,16,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
99,HE van der Dussen,TK Curran,H Klaasen,6,0,6,139,2,27,24,3,6,0,,,16,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
100,H Klaasen,SM Curran,HE van der Dussen,0,0,0,139,2,13,8,3,1,0,,,17,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
101,H Klaasen,SM Curran,HE van der Dussen,4,0,4,143,-2,17,9,3,2,0,,,17,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
102,H Klaasen,SM Curran,HE van der Dussen,2,0,2,145,-4,19,10,3,3,0,,,17,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
103,H Klaasen,SM Curran,HE van der Dussen,1,0,1,146,-5,20,11,3,4,0,,,17,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
104,HE van der Dussen,SM Curran,H Klaasen,1,0,1,147,-6,28,25,3,5,0,,,17,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
105,H Klaasen,SM Curran,HE van der Dussen,0,0,0,147,-6,20,12,4,6,caught,H Klaasen,JC Buttler,17,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
106,HE van der Dussen,CJ Jordan,PJ van Biljon,1,0,1,148,-7,29,26,4,1,0,,,18,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
