,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,review,wicket_type,player_out,fielder,extras,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
102,MM Ali,A Zampa,DJ Malan,0,0,0,140,38,27,2,17,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
103,MM Ali,A Zampa,DJ Malan,2,0,2,142,40,28,3,17,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
104,MM Ali,A Zampa,DJ Malan,4,0,4,146,44,29,4,17,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
105,MM Ali,A Zampa,DJ Malan,0,0,0,146,44,30,5,17,,caught,MM Ali,TH David,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
106,SM Curran,A Zampa,DJ Malan,1,0,1,147,1,1,6,17,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
107,SM Curran,JR Hazlewood,DJ Malan,1,0,1,148,2,2,1,18,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
108,DJ Malan,JR Hazlewood,SM Curran,0,0,0,148,68,44,2,18,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
109,DJ Malan,JR Hazlewood,SM Curran,1,0,1,149,69,45,3,18,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
110,SM Curran,JR Hazlewood,DJ Malan,0,0,0,149,2,3,4,18,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
111,SM Curran,JR Hazlewood,DJ Malan,0,0,0,149,2,4,5,18,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
112,SM Curran,JR Hazlewood,DJ Malan,6,0,6,155,8,5,6,18,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
113,DJ Malan,MA Starc,SM Curran,0,0,0,155,69,46,1,19,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
114,DJ Malan,MA Starc,SM Curran,2,0,2,157,71,47,2,19,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
115,DJ Malan,MA Starc,SM Curran,1,0,1,158,72,48,3,19,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
116,SM Curran,MA Starc,DJ Malan,0,0,0,158,8,6,4,19,,bowled,SM Curran,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
117,CJ Jordan,MA Starc,DJ Malan,1,0,1,159,1,1,5,19,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
118,DJ Malan,MA Starc,CJ Jordan,6,0,6,165,78,49,6,19,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
119,CJ Jordan,MP Stoinis,DJ Malan,0,1,1,166,1,2,1,20,,0,,,{'legbyes': 1},legbyes,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
120,DJ Malan,MP Stoinis,CJ Jordan,0,1,1,167,78,50,2,20,,0,,,{'wides': 1},wides,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
121,DJ Malan,MP Stoinis,CJ Jordan,4,0,4,171,82,51,3,20,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
122,DJ Malan,MP Stoinis,CJ Jordan,0,0,0,171,82,52,4,20,,caught,DJ Malan,SPD Smith,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
123,DJ Willey,MP Stoinis,CJ Jordan,0,0,0,171,0,1,5,20,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
124,DJ Willey,MP Stoinis,CJ Jordan,0,1,1,172,0,2,6,20,,0,,,{'byes': 1},byes,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
125,CJ Jordan,MP Stoinis,DJ Willey,6,0,6,178,7,3,7,20,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
