,batter,bowler,extras,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
83,MJ Santner,KMA Paul,,JDS Neesham,0,0,0,147,7,5,1,-,0,,,14,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
84,MJ Santner,KMA Paul,{'noballs': 1},JDS Neesham,0,1,1,148,7,6,2,noballs,0,,,14,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
85,MJ Santner,KMA Paul,{'noballs': 1},JDS Neesham,0,1,1,149,7,7,3,noballs,0,,,14,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
86,MJ Santner,KMA Paul,,JDS Neesham,1,0,1,150,8,8,4,-,0,,,14,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
87,JDS Neesham,KMA Paul,{'noballs': 1},MJ Santner,1,1,2,152,45,21,5,noballs,0,,,14,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
88,MJ Santner,KMA Paul,,JDS Neesham,2,0,2,154,10,9,6,-,0,,,14,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
89,MJ Santner,KMA Paul,,JDS Neesham,2,0,2,156,12,10,7,-,0,,,14,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
90,MJ Santner,KMA Paul,,JDS Neesham,0,0,0,156,12,11,8,-,0,,,14,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
91,MJ Santner,KMA Paul,{'noballs': 1},JDS Neesham,2,1,3,159,14,12,9,noballs,0,,,14,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
92,MJ Santner,KMA Paul,,JDS Neesham,2,0,2,161,16,13,10,-,0,,,14,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
93,JDS Neesham,SS Cottrell,,MJ Santner,1,0,1,162,46,22,1,-,0,,,15,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
94,MJ Santner,SS Cottrell,,JDS Neesham,0,0,0,162,16,14,2,-,0,,,15,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
95,MJ Santner,SS Cottrell,,JDS Neesham,6,0,6,168,22,15,3,-,0,,,15,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
96,MJ Santner,SS Cottrell,,JDS Neesham,1,0,1,169,23,16,4,-,0,,,15,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
97,JDS Neesham,SS Cottrell,,MJ Santner,1,0,1,170,47,23,5,-,0,,,15,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
98,MJ Santner,SS Cottrell,,JDS Neesham,2,0,2,172,25,17,6,-,0,,,15,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
99,JDS Neesham,KA Pollard,,MJ Santner,1,0,1,173,48,24,1,-,0,,,16,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
100,MJ Santner,KA Pollard,,JDS Neesham,6,0,6,179,31,18,2,-,0,,,16,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
