,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
111,HH Pandya,Naveen-ul-Haq,RR Pant,6,0,6,184,-100,22,9,2,3,19,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
112,HH Pandya,Naveen-ul-Haq,RR Pant,1,0,1,185,-101,23,10,2,4,19,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
113,RR Pant,Naveen-ul-Haq,HH Pandya,1,0,1,186,-102,17,9,2,5,19,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
114,HH Pandya,Naveen-ul-Haq,RR Pant,6,0,6,192,-108,29,11,2,6,19,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
115,HH Pandya,Naveen-ul-Haq,RR Pant,2,0,2,194,-110,31,12,2,7,19,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
116,RR Pant,Hamid Hassan,HH Pandya,4,0,4,198,-114,21,10,2,1,20,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
117,RR Pant,Hamid Hassan,HH Pandya,6,0,6,204,-120,27,11,2,2,20,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
118,RR Pant,Hamid Hassan,HH Pandya,0,0,0,204,-120,27,12,2,3,20,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
119,RR Pant,Hamid Hassan,HH Pandya,0,1,1,205,-121,27,13,2,4,20,byes,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
120,HH Pandya,Hamid Hassan,RR Pant,4,0,4,209,-125,35,13,2,5,20,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
121,HH Pandya,Hamid Hassan,RR Pant,0,1,1,210,-126,35,14,2,6,20,byes,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
