,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
42,GD Phillips,DJ Hooda,MS Chapman,0,0,0,35,,5,11,3,5,6,bowled,GD Phillips,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
43,DJ Mitchell,DJ Hooda,MS Chapman,0,0,0,35,,0,1,3,6,6,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
44,MS Chapman,Kuldeep Yadav,DJ Mitchell,1,0,1,36,,3,8,3,1,7,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
45,DJ Mitchell,Kuldeep Yadav,MS Chapman,0,0,0,36,,0,2,3,2,7,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
46,DJ Mitchell,Kuldeep Yadav,MS Chapman,0,0,0,36,,0,3,3,3,7,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
47,DJ Mitchell,Kuldeep Yadav,MS Chapman,0,0,0,36,,0,4,3,4,7,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
48,DJ Mitchell,Kuldeep Yadav,MS Chapman,4,0,4,40,,4,5,3,5,7,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
49,DJ Mitchell,Kuldeep Yadav,MS Chapman,0,0,0,40,,4,6,3,6,7,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
50,MS Chapman,DJ Hooda,DJ Mitchell,1,0,1,41,,4,9,3,1,8,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
51,DJ Mitchell,DJ Hooda,MS Chapman,1,0,1,42,,5,7,3,2,8,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
52,MS Chapman,DJ Hooda,DJ Mitchell,0,0,0,42,,4,10,3,3,8,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
53,MS Chapman,DJ Hooda,DJ Mitchell,1,0,1,43,,5,11,3,4,8,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
