,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,review,wicket_type,player_out,fielder,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
38,Soumya Sarkar,M Pathirana,Liton Das,1,0,1,64,101,26,22,0,-,1.0,6,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Right arm Fast
39,Liton Das,M Pathirana,Soumya Sarkar,1,0,1,65,100,32,18,0,-,2.0,6,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Right arm Fast
40,Soumya Sarkar,M Pathirana,Liton Das,0,0,0,65,100,26,23,0,-,3.0,6,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Right arm Fast
41,Soumya Sarkar,M Pathirana,Liton Das,0,2,2,67,98,26,24,0,wides,3.0,6,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Right arm Fast
42,Liton Das,M Pathirana,Soumya Sarkar,1,0,1,68,97,33,19,0,-,4.0,6,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Right arm Fast
43,Soumya Sarkar,M Pathirana,Liton Das,0,0,0,68,97,26,25,1,-,5.0,6,,caught,Soumya Sarkar,AD Mathews,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Right arm Fast
44,Nazmul Hossain Shanto,M Pathirana,Liton Das,0,1,1,69,96,0,1,1,wides,5.0,6,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Right arm Fast
45,Nazmul Hossain Shanto,M Pathirana,Liton Das,1,0,1,70,95,1,2,1,-,6.0,6,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Right arm Fast
46,Nazmul Hossain Shanto,M Theekshana,Liton Das,0,0,0,70,95,1,3,1,-,1.0,7,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Right arm Offbreak
47,Nazmul Hossain Shanto,M Theekshana,Liton Das,0,0,0,70,95,1,4,1,-,2.0,7,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Right arm Offbreak
48,Nazmul Hossain Shanto,M Theekshana,Liton Das,4,0,4,74,91,5,5,1,-,3.0,7,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Right arm Offbreak
49,Nazmul Hossain Shanto,M Theekshana,Liton Das,2,0,2,76,89,7,6,1,-,4.0,7,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Right arm Offbreak
50,Nazmul Hossain Shanto,M Theekshana,Liton Das,1,0,1,77,88,8,7,1,-,5.0,7,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Right arm Offbreak
51,Liton Das,M Theekshana,Nazmul Hossain Shanto,1,0,1,78,87,34,20,1,-,6.0,7,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Right arm Offbreak
52,Liton Das,M Pathirana,Nazmul Hossain Shanto,0,0,0,78,87,34,21,1,-,1.0,8,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Right arm Fast
53,Liton Das,M Pathirana,Nazmul Hossain Shanto,1,0,1,79,86,35,22,1,-,2.0,8,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Right arm Fast
54,Nazmul Hossain Shanto,M Pathirana,Liton Das,1,0,1,80,85,9,8,1,-,3.0,8,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Right arm Fast
55,Liton Das,M Pathirana,Nazmul Hossain Shanto,1,0,1,81,84,36,23,1,-,4.0,8,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Right arm Fast
56,Nazmul Hossain Shanto,M Pathirana,Liton Das,0,1,1,82,83,9,9,1,wides,4.0,8,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Right arm Fast
57,Nazmul Hossain Shanto,M Pathirana,Liton Das,1,0,1,83,82,10,10,1,-,5.0,8,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Right arm Fast
58,Liton Das,M Pathirana,Nazmul Hossain Shanto,0,0,0,83,82,36,24,2,-,6.0,8,,caught,Liton Das,KIC Asalanka,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Right arm Fast
59,Nazmul Hossain Shanto,B Fernando,Towhid Hridoy,0,0,0,83,82,10,11,2,-,1.0,9,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Left arm Medium
60,Nazmul Hossain Shanto,B Fernando,Towhid Hridoy,0,0,0,83,82,10,12,2,-,2.0,9,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Left arm Medium
61,Nazmul Hossain Shanto,B Fernando,Towhid Hridoy,1,0,1,84,81,11,13,2,-,3.0,9,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Left arm Medium
62,Towhid Hridoy,B Fernando,Nazmul Hossain Shanto,1,0,1,85,80,1,1,2,-,4.0,9,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Left arm Medium
63,Nazmul Hossain Shanto,B Fernando,Towhid Hridoy,0,0,0,85,80,11,14,2,-,5.0,9,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Left arm Medium
