,batter,bowler,non_striker,extras,replacements,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
57,GJ Maxwell,PWH de Silva,AJ Finch,,,6,0,6,73,11,3,2,-,10,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
58,GJ Maxwell,PWH de Silva,AJ Finch,,,1,0,1,74,12,4,3,-,10,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
59,AJ Finch,PWH de Silva,GJ Maxwell,,,1,0,1,75,23,29,4,-,10,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
60,GJ Maxwell,PWH de Silva,AJ Finch,,,4,0,4,79,16,5,5,-,10,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
61,GJ Maxwell,PWH de Silva,AJ Finch,,,6,0,6,85,22,6,6,-,10,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
62,AJ Finch,M Theekshana,GJ Maxwell,,,0,0,0,85,23,30,1,-,11,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
63,AJ Finch,M Theekshana,GJ Maxwell,{'wides': 1},,0,1,1,86,23,31,2,wides,11,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
64,AJ Finch,M Theekshana,GJ Maxwell,,,0,0,0,86,23,32,3,-,11,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
65,AJ Finch,M Theekshana,GJ Maxwell,,,0,0,0,86,23,33,4,-,11,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
66,AJ Finch,M Theekshana,GJ Maxwell,,,0,0,0,86,23,34,5,-,11,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
67,AJ Finch,M Theekshana,GJ Maxwell,,,0,0,0,86,23,35,6,-,11,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
68,AJ Finch,M Theekshana,GJ Maxwell,,,0,0,0,86,23,36,7,-,11,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
69,GJ Maxwell,CBRLS Kumara,AJ Finch,,,0,0,0,86,22,7,1,-,12,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
70,GJ Maxwell,CBRLS Kumara,AJ Finch,,,0,0,0,86,22,8,2,-,12,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
71,GJ Maxwell,CBRLS Kumara,AJ Finch,,,0,0,0,86,22,9,3,-,12,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
72,GJ Maxwell,CBRLS Kumara,AJ Finch,,,0,0,0,86,22,10,4,-,12,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
73,GJ Maxwell,CBRLS Kumara,AJ Finch,,,1,0,1,87,23,11,5,-,12,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
74,AJ Finch,CBRLS Kumara,GJ Maxwell,{'legbyes': 1},,0,1,1,88,23,37,6,legbyes,12,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
75,AJ Finch,C Karunaratne,GJ Maxwell,,,1,0,1,89,24,38,1,-,13,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
76,GJ Maxwell,C Karunaratne,AJ Finch,,,0,0,0,89,23,12,2,-,13,caught,GJ Maxwell,KNA Bandara,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
77,MP Stoinis,C Karunaratne,AJ Finch,,,1,0,1,90,1,1,3,-,13,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
78,AJ Finch,C Karunaratne,MP Stoinis,,,1,0,1,91,25,39,4,-,13,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
79,MP Stoinis,C Karunaratne,AJ Finch,,,2,0,2,93,3,2,5,-,13,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
