,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,replacements,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
68,MR Marsh,FA Allen,MC Henriques,1,0,1,82,40,35,4,-,0,,,11,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
69,MC Henriques,FA Allen,MR Marsh,1,0,1,83,14,12,5,-,0,,,11,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
70,MR Marsh,FA Allen,MC Henriques,1,0,1,84,41,36,6,-,0,,,11,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
71,MR Marsh,DJ Bravo,MC Henriques,2,0,2,86,43,37,1,-,0,,,12,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
72,MR Marsh,DJ Bravo,MC Henriques,1,0,1,87,44,38,2,-,0,,,12,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
73,MC Henriques,DJ Bravo,MR Marsh,1,0,1,88,15,13,3,-,0,,,12,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
74,MR Marsh,DJ Bravo,MC Henriques,2,0,2,90,46,39,4,-,0,,,12,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
75,MR Marsh,DJ Bravo,MC Henriques,4,0,4,94,50,40,5,-,0,,,12,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
76,MR Marsh,DJ Bravo,MC Henriques,0,1,1,95,50,41,6,wides,0,,,12,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
77,MR Marsh,DJ Bravo,MC Henriques,1,0,1,96,51,42,7,-,0,,,12,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
78,MR Marsh,FA Allen,MC Henriques,1,0,1,97,52,43,1,-,0,,,13,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
79,MC Henriques,FA Allen,MR Marsh,0,0,0,97,15,14,2,-,0,,,13,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
80,MC Henriques,FA Allen,MR Marsh,0,1,1,98,15,15,3,legbyes,0,,,13,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
