,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,wicket_type,player_out,fielder,replacements,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
65,CJ Anderson,Mosaddek Hossain,KS Williamson,4,0,4,66,10,11,5,11,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
66,CJ Anderson,Mosaddek Hossain,KS Williamson,1,0,1,67,11,12,6,11,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
67,CJ Anderson,Mashrafe Mortaza,KS Williamson,1,0,1,68,12,13,1,12,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
68,KS Williamson,Mashrafe Mortaza,CJ Anderson,1,0,1,69,30,36,2,12,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
69,CJ Anderson,Mashrafe Mortaza,KS Williamson,6,0,6,75,18,14,3,12,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
70,CJ Anderson,Mashrafe Mortaza,KS Williamson,1,0,1,76,19,15,4,12,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
71,KS Williamson,Mashrafe Mortaza,CJ Anderson,1,0,1,77,31,37,5,12,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
72,CJ Anderson,Mashrafe Mortaza,KS Williamson,2,0,2,79,21,16,6,12,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
73,KS Williamson,Rubel Hossain,CJ Anderson,4,0,4,83,35,38,1,13,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
74,KS Williamson,Rubel Hossain,CJ Anderson,2,0,2,85,37,39,2,13,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
75,KS Williamson,Rubel Hossain,CJ Anderson,4,0,4,89,41,40,3,13,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
76,KS Williamson,Rubel Hossain,CJ Anderson,1,0,1,90,42,41,4,13,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
77,CJ Anderson,Rubel Hossain,KS Williamson,1,0,1,91,22,17,5,13,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
78,KS Williamson,Rubel Hossain,CJ Anderson,0,0,0,91,42,42,6,13,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
79,CJ Anderson,Taskin Ahmed,KS Williamson,1,0,1,92,23,18,1,14,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
80,KS Williamson,Taskin Ahmed,CJ Anderson,6,0,6,98,48,43,2,14,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
81,KS Williamson,Taskin Ahmed,CJ Anderson,4,0,4,102,52,44,3,14,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
82,KS Williamson,Taskin Ahmed,CJ Anderson,0,0,0,102,52,45,4,14,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
83,KS Williamson,Taskin Ahmed,CJ Anderson,0,0,0,102,52,46,5,14,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
84,KS Williamson,Taskin Ahmed,CJ Anderson,1,0,1,103,53,47,6,14,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
85,KS Williamson,Mashrafe Mortaza,CJ Anderson,0,4,4,107,53,48,1,15,legbyes,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
86,KS Williamson,Mashrafe Mortaza,CJ Anderson,1,0,1,108,54,49,2,15,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
87,CJ Anderson,Mashrafe Mortaza,KS Williamson,4,0,4,112,27,19,3,15,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
88,CJ Anderson,Mashrafe Mortaza,KS Williamson,6,0,6,118,33,20,4,15,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
89,CJ Anderson,Mashrafe Mortaza,KS Williamson,6,0,6,124,39,21,5,15,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
90,CJ Anderson,Mashrafe Mortaza,KS Williamson,1,0,1,125,40,22,6,15,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
91,CJ Anderson,Shakib Al Hasan,KS Williamson,1,0,1,126,41,23,1,16,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
92,KS Williamson,Shakib Al Hasan,CJ Anderson,2,0,2,128,56,50,2,16,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
93,KS Williamson,Shakib Al Hasan,CJ Anderson,0,0,0,128,56,51,3,16,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
94,KS Williamson,Shakib Al Hasan,CJ Anderson,1,0,1,129,57,52,4,16,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
95,CJ Anderson,Shakib Al Hasan,KS Williamson,0,0,0,129,41,24,5,16,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
96,CJ Anderson,Shakib Al Hasan,KS Williamson,0,0,0,129,41,25,6,16,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
97,KS Williamson,Soumya Sarkar,CJ Anderson,1,0,1,130,58,53,1,17,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
98,CJ Anderson,Soumya Sarkar,KS Williamson,6,0,6,136,47,26,2,17,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
99,CJ Anderson,Soumya Sarkar,KS Williamson,6,0,6,142,53,27,3,17,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
100,CJ Anderson,Soumya Sarkar,KS Williamson,6,0,6,148,59,28,4,17,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
101,CJ Anderson,Soumya Sarkar,KS Williamson,2,0,2,150,61,29,5,17,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
102,CJ Anderson,Soumya Sarkar,KS Williamson,0,0,0,150,61,30,6,17,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
103,KS Williamson,Mashrafe Mortaza,CJ Anderson,1,0,1,151,59,54,1,18,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
104,CJ Anderson,Mashrafe Mortaza,KS Williamson,2,0,2,153,63,31,2,18,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
105,CJ Anderson,Mosaddek Hossain,KS Williamson,1,0,1,154,64,32,3,18,-,0,,,"{'role': [{'in': 'Mosaddek Hossain', 'reason': 'injury', 'role': 'bowler'}]}",field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
106,KS Williamson,Mosaddek Hossain,CJ Anderson,0,4,4,158,59,55,4,18,legbyes,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
107,KS Williamson,Mosaddek Hossain,CJ Anderson,1,0,1,159,60,56,5,18,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
108,CJ Anderson,Mosaddek Hossain,KS Williamson,6,0,6,165,70,33,6,18,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
109,KS Williamson,Rubel Hossain,CJ Anderson,0,0,0,165,60,57,1,19,-,bowled,KS Williamson,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
110,C de Grandhomme,Rubel Hossain,CJ Anderson,2,0,2,167,2,1,2,19,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
111,C de Grandhomme,Rubel Hossain,CJ Anderson,1,0,1,168,3,2,3,19,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
112,CJ Anderson,Rubel Hossain,C de Grandhomme,2,0,2,170,72,34,4,19,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
113,CJ Anderson,Rubel Hossain,C de Grandhomme,6,0,6,176,78,35,5,19,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
114,CJ Anderson,Rubel Hossain,C de Grandhomme,1,0,1,177,79,36,6,19,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
115,CJ Anderson,Taskin Ahmed,C de Grandhomme,0,1,1,178,79,37,1,20,wides,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
116,CJ Anderson,Taskin Ahmed,C de Grandhomme,6,0,6,184,85,38,2,20,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
117,CJ Anderson,Taskin Ahmed,C de Grandhomme,1,0,1,185,86,39,3,20,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
118,C de Grandhomme,Taskin Ahmed,CJ Anderson,1,0,1,186,4,3,4,20,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
119,CJ Anderson,Taskin Ahmed,C de Grandhomme,0,0,0,186,86,40,5,20,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
120,CJ Anderson,Taskin Ahmed,C de Grandhomme,6,0,6,192,92,41,6,20,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
121,CJ Anderson,Taskin Ahmed,C de Grandhomme,2,0,2,194,94,42,7,20,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
