,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,replacements,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
88,MS Dhoni,N Pradeep,KL Rahul,0,1,1,184,11,9,4,15,wides,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
89,MS Dhoni,N Pradeep,KL Rahul,1,0,1,185,12,10,5,15,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
90,KL Rahul,N Pradeep,MS Dhoni,0,1,1,186,52,37,6,15,wides,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
91,KL Rahul,N Pradeep,MS Dhoni,6,0,6,192,58,38,7,15,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
92,KL Rahul,N Pradeep,MS Dhoni,4,0,4,196,62,39,8,15,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
93,MS Dhoni,NLTC Perera,KL Rahul,0,0,0,196,12,11,1,16,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
94,MS Dhoni,NLTC Perera,KL Rahul,0,1,1,197,12,12,2,16,legbyes,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
95,KL Rahul,NLTC Perera,MS Dhoni,1,0,1,198,63,40,3,16,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
96,MS Dhoni,NLTC Perera,KL Rahul,0,1,1,199,12,13,4,16,legbyes,,0,,,"{'by': 'Sri Lanka', 'umpire': 'AK Chaudhary', 'batter': 'MS Dhoni', 'decision': 'struck down'}",field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
97,KL Rahul,NLTC Perera,MS Dhoni,0,1,1,200,63,41,5,16,wides,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
98,KL Rahul,NLTC Perera,MS Dhoni,0,0,0,200,63,42,6,16,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
