,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
104,AY Patel,Mustafizur Rahman,WA Young,0,1,1,83,45,2,4,7,2,0,,,17,,legbyes,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
105,WA Young,Mustafizur Rahman,AY Patel,1,0,1,84,44,41,43,7,3,0,,,17,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
106,AY Patel,Mustafizur Rahman,WA Young,1,0,1,85,43,3,5,7,4,0,,,17,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
107,WA Young,Mustafizur Rahman,AY Patel,4,0,4,89,39,45,44,7,5,0,,,17,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
108,WA Young,Mustafizur Rahman,AY Patel,0,0,0,89,39,45,45,7,6,0,,,17,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
109,AY Patel,Mohammad Saifuddin,WA Young,1,0,1,90,38,4,6,7,1,0,,,18,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
110,WA Young,Mohammad Saifuddin,AY Patel,0,0,0,90,38,45,46,7,2,0,,,18,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
111,WA Young,Mohammad Saifuddin,AY Patel,1,0,1,91,37,46,47,7,3,0,,,18,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
112,AY Patel,Mohammad Saifuddin,WA Young,0,0,0,91,37,4,7,7,4,0,,,18,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
113,AY Patel,Mohammad Saifuddin,WA Young,0,0,0,91,37,4,8,8,5,bowled,AY Patel,,18,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
114,BM Tickner,Mohammad Saifuddin,WA Young,1,0,1,92,36,1,1,8,6,0,,,18,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
115,BM Tickner,Mustafizur Rahman,WA Young,1,0,1,93,35,2,2,8,1,0,,,19,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
116,WA Young,Mustafizur Rahman,BM Tickner,0,0,0,93,35,46,48,9,2,caught,WA Young,Mahmudullah,19,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
117,BM Tickner,Mustafizur Rahman,HK Bennett,0,0,0,93,35,2,3,10,3,caught,BM Tickner,Mahedi Hasan,19,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
